START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.8554,9.8554,3,9.9670,9.9670,5,10.0693,10.0693,4,9.9799,9.9799,6,10.0986,10.0986,1,9.7818,9.7818,2005-2006,"2005 World Cup 1, China",1500M,m,Heats,10
3,13.2085,23.0639,4,13.2480,23.2150,6,13.1959,23.2652,2,12.9234,22.9033,5,13.1443,23.2429,1,12.4646,22.2464,2005-2006,"2005 World Cup 1, China",1500M,m,Heats,10
4,12.3179,35.3818,2,12.1110,35.3260,3,12.0810,35.3462,5,12.4851,35.3884,6,12.2742,35.5171,1,12.7274,34.9738,2005-2006,"2005 World Cup 1, China",1500M,m,Heats,10
3,12.5090,47.8908,5,12.7514,48.0774,4,12.6247,47.9709,2,12.4414,47.8298,6,12.5673,48.0844,1,12.5129,47.4867,2005-2006,"2005 World Cup 1, China",1500M,m,Heats,10
3,12.4815,1:00.3723,6,12.6017,1:00.6791,4,12.5753,1:00.5462,2,12.3734,1:00.2032,5,12.5680,1:00.6524,1,12.3555,59.8422,2005-2006,"2005 World Cup 1, China",1500M,m,Heats,10
2,12.0027,1:12.3750,6,12.4536,1:13.1327,5,12.2658,1:12.8120,3,12.1998,1:12.4030,4,12.0304,1:12.6828,1,12.0773,1:11.9195,2005-2006,"2005 World Cup 1, China",1500M,m,Heats,10
2,10.9848,1:23.3598,6,10.7764,1:23.9091,5,10.9546,1:23.7666,3,11.1566,1:23.5596,4,10.9304,1:23.6132,1,11.3783,1:23.2978,2005-2006,"2005 World Cup 1, China",1500M,m,Heats,10
3,10.4022,1:33.7620,2,9.7875,1:33.6966,5,10.1786,1:33.9452,4,10.2065,1:33.7661,6,10.4078,1:34.0210,1,10.3652,1:33.6630,2005-2006,"2005 World Cup 1, China",1500M,m,Heats,10
4,9.9451,1:43.7071,6,11.0475,1:44.7441,5,10.1507,1:44.0959,3,9.8053,1:43.5714,2,9.5104,1:43.5314,1,9.5826,1:43.2456,2005-2006,"2005 World Cup 1, China",1500M,m,Heats,10
4,9.2304,1:52.9375,6,10.6068,1:55.3509,5,9.1465,1:53.2424,2,9.2620,1:52.8334,3,9.3623,1:52.8937,1,9.3674,1:52.6130,2005-2006,"2005 World Cup 1, China",1500M,m,Heats,10
3,9.4346,2:02.3721,6,10.8462,2:06.1971,5,9.2148,2:02.4572,2,9.4096,2:02.2430,4,9.5070,2:02.4007,1,9.0152,2:01.6282,2005-2006,"2005 World Cup 1, China",1500M,m,Heats,10
3,9.5017,2:11.8738,6,11.3140,2:17.5111,5,9.9252,2:12.3824,2,9.5117,2:11.7547,4,9.5693,2:11.9700,1,9.9195,2:11.5477,2005-2006,"2005 World Cup 1, China",1500M,m,Heats,10
3,9.4104,2:21.2842,6,11.4889,2:29.0000,4,9.1792,2:21.5616,2,9.4893,2:21.2440,5,10.7291,2:22.6991,1,9.4381,2:20.9858,2005-2006,"2005 World Cup 1, China",1500M,m,Heats,10
2,9.61,2:30.894,6,12.66,2:41.659,3,9.43,2:30.985,1,9.59,2:30.834,5,11.17,2:33.866,4,11.54,2:32.526,2005-2006,"2005 World Cup 1, China",1500M,m,Heats,10
