START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,10.82,10.82,3,10.47,10.47,4,10.65,10.65,2,10.32,10.32,1,10.19,10.19,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,RepHeats,2
5,14.62,25.44,3,14.63,25.10,4,14.63,25.28,2,14.66,24.98,1,14.65,24.84,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,RepHeats,2
5,13.35,38.79,3,13.33,38.43,4,13.38,38.66,2,13.43,38.41,1,13.43,38.27,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,RepHeats,2
5,12.21,51.00,3,12.31,50.74,4,12.24,50.90,2,12.19,50.60,1,12.20,50.47,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,RepHeats,2
3,11.76,1:02.76,4,12.04,1:02.78,5,11.95,1:02.85,2,12.09,1:02.69,1,12.12,1:02.59,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,RepHeats,2
1,10.71,1:13.47,3,10.87,1:13.65,5,10.91,1:13.76,4,11.00,1:13.69,2,10.99,1:13.58,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,RepHeats,2
2,9.78,1:23.25,1,9.48,1:23.13,3,9.63,1:23.39,5,9.89,1:23.58,4,9.81,1:23.39,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,RepHeats,2
2,9.89,1:33.14,1,9.89,1:33.02,5,10.59,1:33.98,4,9.76,1:33.34,3,9.77,1:33.16,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,RepHeats,2
2,9.52,1:42.66,1,9.56,1:42.58,5,9.24,1:43.22,4,9.54,1:42.88,3,9.62,1:42.78,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,RepHeats,2
2,9.87,1:52.53,1,9.87,1:52.45,5,9.62,1:52.84,4,9.84,1:52.72,3,9.86,1:52.64,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,RepHeats,2
1,9.51,2:02.04,2,9.81,2:02.26,5,9.61,2:02.45,4,9.68,2:02.40,3,9.72,2:02.36,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,RepHeats,2
1,9.24,2:11.28,2,9.30,2:11.56,4,9.29,2:11.74,3,9.26,2:11.66,5,9.61,2:11.97,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,RepHeats,2
1,9.23,2:20.51,2,9.30,2:20.86,4,9.38,2:21.12,3,9.31,2:20.97,5,9.72,2:21.69,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,RepHeats,2
1,9.57,2:30.080,2,9.53,2:30.387,4,9.45,2:30.565,3,9.49,2:30.452,0,,PEN,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),m,RepHeats,2
