JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,KAZAKHSTAN POSITION,KAZAKHSTAN LAP TIME,KAZAKHSTAN ELAPSED TIME
1,13.34,13.34,2,13.49,13.49
1,10.00,23.34,2,9.96,23.45
1,9.59,32.93,2,9.56,33.01
1,9.48,42.41,2,9.42,42.43
1,9.21,51.62,2,9.32,51.75
1,9.04,1:00.66,2,9.18,1:00.93
1,9.12,1:09.78,2,8.97,1:09.90
1,9.16,1:18.94,2,9.15,1:19.05
1,9.07,1:28.01,2,9.15,1:28.20
1,9.05,1:37.06,2,9.34,1:37.54
1,9.06,1:46.12,2,9.64,1:47.18
1,9.25,1:55.37,2,9.43,1:56.61
1,9.13,2:04.50,2,9.02,2:05.63
1,9.14,2:13.64,2,9.17,2:14.80
1,9.18,2:22.82,2,9.23,2:24.03
1,9.19,2:32.01,2,9.43,2:33.46
1,9.12,2:41.13,2,9.67,2:43.13
1,9.27,2:50.40,2,9.56,2:52.69
1,9.25,2:59.65,2,9.54,3:02.23
1,9.47,3:09.12,2,9.47,3:11.70
1,9.46,3:18.58,2,9.48,3:21.18
1,9.36,3:27.94,2,9.71,3:30.89
1,9.51,3:37.45,2,9.73,3:40.62
1,9.36,3:46.81,2,9.80,3:50.42
1,9.36,3:56.17,2,10.07,4:00.49
1,9.26,4:05.43,2,10.51,4:11.00
1,9.28,4:14.712,2,10.16,4:21.169
