START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,season,competition,event,gender,round,race
1,12.632,12.632,2,12.722,12.722,3,12.860,12.860,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
1,9.417,22.049,2,9.589,22.311,3,9.561,22.420,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
1,9.393,31.442,2,9.317,31.628,3,9.395,31.815,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
1,9.610,41.052,2,9.425,41.053,0,,,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
1,9.380,50.432,2,9.648,50.701,3,,50.706,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
1,9.492,59.924,2,9.398,1:00.099,3,9.553,1:00.259,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
1,9.240,1:09.164,2,9.181,1:09.280,3,9.088,1:09.346,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
1,9.283,1:18.447,2,9.284,1:18.563,3,9.370,1:18.716,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
1,9.461,1:27.908,2,9.360,1:27.924,3,9.553,1:28.270,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,17.523,1:45.431,2,10.943,1:38.867,1,10.417,1:38.687,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,9.892,1:55.323,2,8.567,1:47.434,1,8.580,1:47.267,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,9.591,2:04.914,2,9.573,1:57.007,1,9.543,1:56.810,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,9.662,2:14.575,1,9.143,2:06.150,2,9.349,2:06.159,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,10.028,2:24.603,2,9.508,2:15.658,1,9.465,2:15.624,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,10.118,2:34.721,1,9.457,2:25.115,2,9.517,2:25.141,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,9.669,2:44.390,1,9.641,2:34.756,2,9.622,2:34.762,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,9.528,2:53.918,2,9.436,2:44.192,1,9.398,2:44.161,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,9.371,3:03.289,2,9.412,2:53.603,1,9.175,2:53.336,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,9.755,3:13.044,2,8.981,3:02.585,1,9.222,3:02.557,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,9.768,3:22.812,2,9.297,3:11.882,1,9.221,3:11.778,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,9.864,3:32.676,1,9.216,3:21.098,2,9.338,3:21.117,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,11.431,3:44.107,1,9.462,3:30.559,2,18.844,3:39.960,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
2,7.920,3:52.026,1,9.657,3:40.216,0,,,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,9.654,4:01.680,2,9.519,3:49.735,1,,3:49.113,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,9.837,4:11.517,2,9.082,3:58.817,1,9.323,3:58.437,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,9.855,4:21.372,2,9.108,4:07.925,1,9.486,4:07.922,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
3,10.150,4:31.522,2,9.279,4:17.204,1,9.183,4:17.105,2007-2008,"Samsung ISU World Cup 2007/2008, USA, Salt Lake City",3000mRelay,w,Heats,2
