START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.67,8.67,2,8.75,8.75,4,9.05,9.05,5,9.26,9.26,6,9.39,9.39,3,8.88,8.88,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Quarterfinals,8
1,12.70,21.37,2,12.69,21.44,4,12.62,21.67,5,12.55,21.81,6,12.52,21.91,3,12.67,21.55,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Quarterfinals,8
1,12.06,33.43,2,12.08,33.52,5,12.10,33.77,4,11.91,33.72,6,12.05,33.96,3,12.10,33.65,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Quarterfinals,8
1,11.88,45.31,2,11.86,45.38,5,11.93,45.70,4,11.90,45.62,6,11.83,45.79,3,11.86,45.51,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Quarterfinals,8
1,12.16,57.47,3,12.10,57.48,5,11.96,57.66,4,11.87,57.49,6,12.04,57.83,2,11.97,57.48,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Quarterfinals,8
3,10.17,1:07.64,5,10.39,1:07.87,4,10.09,1:07.75,1,9.94,1:07.43,6,10.16,1:07.99,2,10.07,1:07.55,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Quarterfinals,8
3,10.03,1:17.67,4,10.00,1:17.87,6,21.70,1:29.45,1,10.14,1:17.57,5,10.01,1:18.00,2,10.12,1:17.67,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Quarterfinals,8
2,10.01,1:27.68,3,9.89,1:27.76,6,12.95,1:42.40,1,9.99,1:27.56,5,10.00,1:28.00,4,10.24,1:27.91,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Quarterfinals,8
2,10.02,1:37.70,3,10.02,1:37.78,6,11.88,1:54.28,1,10.01,1:37.57,5,9.99,1:37.99,4,9.99,1:37.90,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Quarterfinals,8
2,9.84,1:47.54,3,9.94,1:47.72,6,12.56,2:06.84,1,9.95,1:47.52,5,10.04,1:48.03,4,10.07,1:47.97,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Quarterfinals,8
1,9.68,1:57.22,3,9.74,1:57.46,6,12.74,2:19.58,2,9.83,1:57.35,4,9.78,1:57.81,5,10.51,1:58.48,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Quarterfinals,8
1,9.85,2:07.07,3,9.79,2:07.25,6,12.56,2:32.14,2,9.74,2:07.09,4,9.55,2:07.36,5,11.40,2:09.88,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Quarterfinals,8
2,9.97,2:17.04,3,9.91,2:17.16,6,11.78,2:43.92,1,9.83,2:16.92,4,9.83,2:17.19,5,11.93,2:21.81,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Quarterfinals,8
3,10.25,2:27.285,4,10.17,2:27.324,6,12.12,2:56.035,2,10.06,2:26.980,1,9.78,2:26.969,5,12.21,2:34.018,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Quarterfinals,8
