START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,10.18,10.18,2,10.45,10.45,6,10.99,10.99,4,10.76,10.76,3,10.62,10.62,5,10.84,10.84,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Semifinals,2
1,15.07,25.25,2,14.97,25.42,6,15.08,26.07,4,15.03,25.79,3,14.96,25.58,5,15.07,25.91,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Semifinals,2
1,14.16,39.41,2,14.18,39.60,6,14.23,40.30,4,14.16,39.95,3,14.18,39.76,5,14.23,40.14,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Semifinals,2
1,13.87,53.28,3,13.90,53.50,3,13.20,53.50,2,13.53,53.48,6,13.87,53.63,5,13.46,53.60,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Semifinals,2
1,11.11,1:04.39,6,11.33,1:04.83,2,10.92,1:04.42,3,11.15,1:04.63,5,11.14,1:04.77,4,11.14,1:04.74,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Semifinals,2
2,9.88,1:14.27,6,9.87,1:14.70,3,9.93,1:14.35,4,9.86,1:14.49,1,9.41,1:14.18,5,9.82,1:14.56,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Semifinals,2
2,9.83,1:24.10,6,9.82,1:24.52,4,9.83,1:24.18,3,9.64,1:24.13,1,9.81,1:23.99,5,9.80,1:24.36,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Semifinals,2
3,9.60,1:33.70,6,9.42,1:33.94,5,9.73,1:33.91,1,9.33,1:33.46,2,9.62,1:33.61,4,9.43,1:33.79,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Semifinals,2
2,9.17,1:42.87,4,9.06,1:43.00,6,9.23,1:43.14,1,9.31,1:42.77,3,9.36,1:42.97,5,9.28,1:43.07,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Semifinals,2
3,9.06,1:51.93,1,8.73,1:51.73,6,9.12,1:52.26,2,9.07,1:51.84,4,9.07,1:52.04,5,9.10,1:52.17,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Semifinals,2
3,8.95,2:00.88,2,9.02,2:00.75,6,8.94,2:01.20,1,8.77,2:00.61,4,8.94,2:00.98,5,8.89,2:01.06,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Semifinals,2
3,8.90,2:09.78,2,8.95,2:09.70,6,8.92,2:10.12,1,8.97,2:09.58,4,8.91,2:09.89,5,8.92,2:09.98,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Semifinals,2
3,8.88,2:18.66,2,8.89,2:18.59,6,8.92,2:19.04,1,8.90,2:18.48,4,8.87,2:18.76,5,8.90,2:18.88,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Semifinals,2
4,9.13,2:27.768,3,9.13,2:27.703,6,9.38,2:28.402,1,9.09,2:27.551,2,8.88,2:27.618,5,8.94,2:27.801,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(1),m,Semifinals,2
