START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,10.30,10.30,4,10.44,10.44,5,10.60,10.60,2,10.06,10.06,1,9.88,9.88,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,11
3,14.83,25.13,4,14.84,25.28,5,14.98,25.58,2,14.84,24.90,1,14.86,24.74,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,11
3,13.43,38.56,4,13.39,38.67,5,13.34,38.92,2,13.54,38.44,1,13.53,38.27,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,11
3,12.95,51.51,4,12.97,51.64,5,12.95,51.87,2,12.95,51.39,1,12.94,51.21,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,11
4,12.93,1:04.44,5,12.89,1:04.53,3,12.47,1:04.34,2,12.86,1:04.25,1,12.90,1:04.11,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,11
4,11.52,1:15.96,5,11.51,1:16.04,1,11.28,1:15.62,3,11.56,1:15.81,2,11.59,1:15.70,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,11
2,11.27,1:27.23,5,11.32,1:27.36,3,11.62,1:27.24,4,11.54,1:27.35,1,11.38,1:27.08,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,11
2,9.87,1:37.10,3,9.84,1:37.20,4,10.12,1:37.36,5,10.14,1:37.49,1,9.93,1:37.01,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,11
2,9.85,1:46.95,3,9.85,1:47.05,4,9.83,1:47.19,5,21.79,1:59.28,1,9.87,1:46.88,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,11
2,9.98,1:56.93,3,10.00,1:57.05,4,9.97,1:57.16,5,13.58,2:12.86,1,9.96,1:56.84,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,11
1,9.33,2:06.26,3,9.40,2:06.45,4,9.41,2:06.57,5,13.95,2:26.81,2,9.47,2:06.31,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,11
1,9.25,2:15.51,4,9.27,2:15.72,3,9.13,2:15.70,5,12.36,2:39.17,2,9.28,2:15.59,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,11
1,9.18,2:24.69,4,9.24,2:24.96,3,9.12,2:24.82,5,11.69,2:50.86,2,9.21,2:24.80,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,11
2,9.29,2:33.980,4,9.45,2:34.404,1,8.95,2:33.770,5,12.01,3:02.862,3,9.28,2:34.074,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Heats,11
