START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.58,9.58,3,9.76,9.76,4,9.91,9.91,1,9.49,9.49,5,9.96,9.96,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,8
2,14.10,23.68,3,14.04,23.80,4,14.03,23.94,1,14.07,23.56,5,14.11,24.07,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,8
2,13.08,36.76,3,13.17,36.97,4,13.22,37.16,1,13.07,36.63,5,13.23,37.30,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,8
1,11.66,48.42,3,11.69,48.66,4,11.62,48.78,2,11.87,48.50,5,11.59,48.89,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,8
2,11.46,59.88,1,11.10,59.76,4,11.32,1:00.10,3,11.46,59.96,5,11.30,1:00.19,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,8
5,10.86,1:10.74,4,10.90,1:10.66,1,10.15,1:10.25,3,10.52,1:10.48,2,10.16,1:10.35,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,8
5,9.80,1:20.54,3,9.72,1:20.38,1,9.91,1:20.16,4,9.90,1:20.38,2,9.92,1:20.27,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,8
5,9.59,1:30.13,4,9.71,1:30.09,1,9.49,1:29.65,3,9.56,1:29.94,2,9.51,1:29.78,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,8
5,9.36,1:39.49,4,9.29,1:39.38,1,9.41,1:39.06,3,9.33,1:39.27,2,9.40,1:39.18,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,8
5,9.51,1:49.00,4,9.60,1:48.98,1,9.57,1:48.63,3,9.61,1:48.88,2,9.58,1:48.76,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,8
5,9.20,1:58.20,4,9.10,1:58.08,1,9.10,1:57.73,3,9.10,1:57.98,2,9.14,1:57.90,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,8
5,8.92,2:07.12,4,9.03,2:07.11,1,9.06,2:06.79,2,8.95,2:06.93,3,9.17,2:07.07,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,8
3,9.02,2:16.14,4,9.13,2:16.24,1,9.10,2:15.89,2,9.10,2:16.03,5,9.45,2:16.52,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,8
4,9.27,2:25.401,3,9.15,2:25.386,1,9.34,2:25.229,2,9.29,2:25.311,5,10.02,2:26.537,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,8
