START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.02,9.02,3,9.13,9.13,5,9.42,9.42,1,8.93,8.93,4,9.25,9.25,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),w,Heats,2
2,11.46,20.48,3,11.46,20.59,5,11.38,20.80,1,11.46,20.39,4,11.44,20.69,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),w,Heats,2
2,11.04,31.52,3,11.06,31.65,5,11.08,31.88,1,11.03,31.42,4,11.07,31.76,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),w,Heats,2
2,10.93,42.45,3,10.92,42.57,5,10.92,42.80,1,10.93,42.35,4,10.93,42.69,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),w,Heats,2
2,10.72,53.17,3,10.71,53.28,5,10.71,53.51,1,10.74,53.09,4,10.70,53.39,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),w,Heats,2
2,10.26,1:03.43,3,10.28,1:03.56,5,10.27,1:03.78,1,10.26,1:03.35,4,10.28,1:03.67,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),w,Heats,2
2,9.99,1:13.42,3,9.87,1:13.43,5,9.93,1:13.71,1,10.01,1:13.36,4,9.93,1:13.60,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),w,Heats,2
3,10.03,1:23.45,2,9.95,1:23.38,5,9.98,1:23.69,1,9.92,1:23.28,4,9.95,1:23.55,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),w,Heats,2
1,9.75,1:33.20,3,9.93,1:33.31,5,9.76,1:33.45,2,9.93,1:33.21,4,9.79,1:33.34,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),w,Heats,2
1,9.51,1:42.71,5,10.07,1:43.38,4,9.66,1:43.11,3,9.82,1:43.03,2,9.46,1:42.80,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),w,Heats,2
2,9.87,1:52.58,5,10.32,1:53.70,4,9.75,1:52.86,3,9.75,1:52.78,1,9.75,1:52.55,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),w,Heats,2
2,10.10,2:02.68,5,10.76,2:04.46,4,10.09,2:02.95,3,10.05,2:02.83,1,9.64,2:02.19,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),w,Heats,2
2,10.41,2:13.09,5,11.29,2:15.75,4,10.31,2:13.26,3,10.26,2:13.09,1,9.89,2:12.08,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),w,Heats,2
0,,PEN,4,11.83,2:27.576,3,10.61,2:23.868,2,10.63,2:23.719,1,10.35,2:22.421,2012-2013,"ISU World Cup 2012/2013, Dresden (GER)",1500m(1),w,Heats,2
