START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.250,8.250,6,9.160,9.160,3,8.442,8.442,4,8.608,8.608,2,8.422,8.422,5,8.661,8.661,2003-2004,"2004 World Cup 5, Czech Republic",1500M,m,Heats,1
3,12.395,20.645,1,11.334,20.493,2,12.065,20.507,5,12.354,20.962,4,12.267,20.689,6,12.318,20.979,2003-2004,"2004 World Cup 5, Czech Republic",1500M,m,Heats,1
3,11.404,32.049,1,11.263,31.756,2,11.385,31.891,5,11.190,32.151,4,11.395,32.083,6,11.276,32.254,2003-2004,"2004 World Cup 5, Czech Republic",1500M,m,Heats,1
3,11.242,43.290,1,11.309,43.064,2,11.366,43.256,6,11.474,43.625,4,11.247,43.329,5,11.324,43.577,2003-2004,"2004 World Cup 5, Czech Republic",1500M,m,Heats,1
2,10.379,53.669,1,10.477,53.540,4,10.629,53.884,5,10.260,53.885,3,10.483,53.811,6,10.323,53.900,2003-2004,"2004 World Cup 5, Czech Republic",1500M,m,Heats,1
2,10.226,1:03.894,1,10.144,1:03.684,4,10.263,1:04.147,5,10.357,1:04.242,3,10.260,1:04.070,6,10.377,1:04.276,2003-2004,"2004 World Cup 5, Czech Republic",1500M,m,Heats,1
2,10.272,1:14.166,1,10.302,1:13.985,3,10.216,1:14.363,4,10.161,1:14.403,5,10.408,1:14.478,6,10.275,1:14.551,2003-2004,"2004 World Cup 5, Czech Republic",1500M,m,Heats,1
2,9.803,1:23.969,1,9.972,1:23.957,4,9.875,1:24.237,5,9.959,1:24.361,3,9.702,1:24.180,6,9.858,1:24.408,2003-2004,"2004 World Cup 5, Czech Republic",1500M,m,Heats,1
2,9.708,1:33.676,1,9.675,1:33.631,3,9.619,1:33.856,4,9.626,1:33.987,5,9.882,1:34.062,6,9.703,1:34.111,2003-2004,"2004 World Cup 5, Czech Republic",1500M,m,Heats,1
2,9.542,1:43.217,1,9.438,1:43.069,3,9.620,1:43.475,5,9.620,1:43.606,6,9.614,1:43.675,4,9.405,1:43.515,2003-2004,"2004 World Cup 5, Czech Republic",1500M,m,Heats,1
3,9.463,1:52.680,2,9.425,1:52.494,1,8.936,1:52.411,5,9.689,1:53.295,6,9.765,1:53.440,4,9.369,1:52.884,2003-2004,"2004 World Cup 5, Czech Republic",1500M,m,Heats,1
3,9.601,2:02.281,2,9.465,2:01.958,1,9.140,2:01.551,5,10.176,2:03.471,6,10.120,2:03.560,4,9.499,2:02.382,2003-2004,"2004 World Cup 5, Czech Republic",1500M,m,Heats,1
3,9.659,2:11.939,2,9.611,2:11.569,1,9.564,2:11.114,6,10.498,2:13.968,5,10.382,2:13.941,4,10.128,2:12.510,2003-2004,"2004 World Cup 5, Czech Republic",1500M,m,Heats,1
3,10.10,2:22.037,2,10.29,2:21.850,1,10.52,2:21.627,6,10.75,2:24.717,5,10.65,2:24.589,4,10.93,2:23.435,2003-2004,"2004 World Cup 5, Czech Republic",1500M,m,Heats,1
