START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,8.13,8.13,4,8.35,8.35,3,8.34,8.34,6,8.72,8.72,2,8.28,8.28,5,8.55,8.55,7,8.97,,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,2
1,11.20,19.33,2,11.06,19.41,4,11.29,19.63,6,11.14,19.86,3,11.24,19.52,5,11.19,19.74,7,11.06,,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,2
1,10.52,29.85,3,10.56,29.97,2,10.29,29.92,6,10.47,30.33,4,10.57,30.09,5,10.49,30.23,7,10.52,,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,2
1,10.23,40.08,2,10.19,40.16,4,10.45,40.37,5,10.12,40.45,6,10.45,40.54,3,10.04,40.27,7,10.13,,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,2
1,10.40,50.48,3,10.40,50.56,4,10.29,50.66,6,10.41,50.86,1,9.94,50.48,5,10.48,50.75,7,10.35,,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,2
2,10.06,1:00.54,4,10.04,1:00.60,3,9.90,1:00.56,6,10.02,1:00.88,1,9.98,1:00.46,5,10.00,1:00.75,7,10.02,,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,2
3,9.70,1:10.24,1,9.57,1:10.17,2,9.63,1:10.19,6,9.69,1:10.57,4,9.83,1:10.29,5,9.70,1:10.45,7,9.63,,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,2
2,9.08,1:19.32,1,9.08,1:19.25,3,9.27,1:19.46,7,9.20,1:19.77,5,9.36,1:19.65,4,9.09,1:19.54,6,9.01,,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,2
2,9.30,1:28.62,1,9.28,1:28.53,2,9.16,1:28.62,5,9.22,1:28.99,7,30.07,1:49.72,6,9.57,1:29.11,4,9.21,,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,2
3,9.46,1:38.08,1,9.35,1:37.88,2,9.35,1:37.97,5,9.34,1:38.33,7,10.93,2:00.65,6,9.33,1:38.44,4,9.29,,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,2
2,9.06,1:47.14,1,9.18,1:47.06,3,9.25,1:47.22,5,9.17,1:47.50,7,10.36,2:11.01,6,9.27,1:47.71,4,9.15,,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,2
2,9.04,1:56.18,1,9.02,1:56.08,3,9.07,1:56.29,5,9.11,1:56.61,7,10.46,2:21.47,6,9.46,1:57.17,4,9.09,,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,2
2,9.01,2:05.19,1,9.02,2:05.10,3,8.96,2:05.25,5,9.19,2:05.80,7,10.31,2:31.78,6,9.92,2:07.09,4,8.92,,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,2
2,9.00,2:14.198,1,9.06,2:14.165,5,24.64,2:29.890,3,9.55,2:15.354,6,12.78,2:44.562,4,10.47,2:17.568,3,9.11,,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Semifinals,2
