START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,11.26,11.26,3,11.41,11.41,1,11.13,11.13,4,11.60,11.60,5,11.78,11.78,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),m,Quarterfinals,2
2,15.98,27.24,3,15.99,27.40,1,15.98,27.11,4,15.96,27.56,5,16.02,27.80,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),m,Quarterfinals,2
2,15.39,42.63,3,15.41,42.81,1,15.40,42.51,4,15.40,42.96,5,15.40,43.20,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),m,Quarterfinals,2
2,15.10,57.73,3,15.05,57.86,1,15.10,57.61,4,15.03,57.99,5,14.97,58.17,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),m,Quarterfinals,2
2,13.71,1:11.44,1,13.48,1:11.34,3,13.90,1:11.51,4,13.68,1:11.67,5,13.69,1:11.86,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),m,Quarterfinals,2
2,11.57,1:23.01,1,11.61,1:22.95,3,11.64,1:23.15,4,11.59,1:23.26,5,11.59,1:23.45,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),m,Quarterfinals,2
2,11.01,1:34.02,1,10.96,1:33.91,3,11.06,1:34.21,4,11.08,1:34.34,5,11.01,1:34.46,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),m,Quarterfinals,2
3,9.99,1:44.01,2,10.00,1:43.91,1,9.60,1:43.81,4,9.78,1:44.12,5,9.76,1:44.22,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),m,Quarterfinals,2
3,9.21,1:53.22,1,9.23,1:53.14,1,9.33,1:53.14,5,9.39,1:53.51,4,9.07,1:53.29,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),m,Quarterfinals,2
3,8.98,2:02.20,4,9.23,2:02.37,1,8.90,2:02.04,5,9.13,2:02.64,2,8.76,2:02.05,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),m,Quarterfinals,2
3,8.75,2:10.95,4,8.75,2:11.12,2,8.72,2:10.76,5,9.34,2:11.98,1,8.58,2:10.63,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),m,Quarterfinals,2
3,8.79,2:19.74,4,8.73,2:19.85,2,8.84,2:19.60,5,9.73,2:21.71,1,8.92,2:19.55,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),m,Quarterfinals,2
4,9.01,2:28.75,3,8.89,2:28.74,2,8.99,2:28.59,5,10.19,2:31.90,1,8.96,2:28.51,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),m,Quarterfinals,2
4,9.62,2:38.37,3,9.10,2:37.84,2,9.20,2:37.79,5,10.85,2:42.75,1,9.18,2:37.69,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),m,Quarterfinals,2
