START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,10.24,10.24,3,9.41,9.41,2,9.25,9.25,1,9.05,9.05,5,9.85,9.85,4,9.63,9.63,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,6
6,11.73,21.97,3,11.99,21.40,2,12.08,21.33,1,12.17,21.22,5,11.82,21.67,4,11.87,21.50,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,6
6,11.57,33.54,3,11.68,33.08,2,11.68,33.01,1,11.62,32.84,5,11.67,33.34,4,11.71,33.21,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,6
6,11.12,44.66,3,11.23,44.31,2,11.15,44.16,1,11.18,44.02,5,11.23,44.57,4,11.23,44.44,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,6
5,10.95,55.61,1,11.04,55.35,2,11.23,55.39,6,11.63,55.65,4,10.99,55.56,3,11.01,55.45,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,6
5,11.44,1:07.05,1,11.32,1:06.67,3,11.55,1:06.94,6,11.51,1:07.16,4,11.48,1:07.04,2,11.35,1:06.80,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,6
1,10.15,1:17.20,3,11.03,1:17.70,4,10.99,1:17.93,6,11.03,1:18.19,5,10.96,1:18.00,2,10.63,1:17.43,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,6
1,9.67,1:26.87,3,9.72,1:27.42,5,10.39,1:28.32,6,10.39,1:28.58,4,9.93,1:27.93,2,9.62,1:27.05,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,6
1,9.46,1:36.33,3,9.85,1:37.27,6,10.50,1:38.82,5,10.20,1:38.78,4,9.48,1:37.41,2,9.45,1:36.50,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,6
1,9.58,1:45.91,4,10.08,1:47.35,5,10.66,1:49.48,6,10.87,1:49.65,3,9.72,1:47.13,2,9.53,1:46.03,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,6
1,9.74,1:55.65,4,10.36,1:57.71,5,11.13,2:00.61,6,11.15,2:00.80,3,10.00,1:57.13,2,9.81,1:55.84,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,6
1,9.99,2:05.64,4,10.99,2:08.70,5,11.28,2:11.89,6,11.33,2:12.13,3,10.22,2:07.35,2,9.98,2:05.82,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,6
1,10.23,2:15.87,4,12.25,2:20.95,5,11.22,2:23.11,6,11.90,2:24.03,3,10.61,2:17.96,2,10.33,2:16.15,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,6
1,10.58,2:26.449,4,12.28,2:33.230,0,,PEN,5,11.94,2:35.966,3,11.03,2:28.984,2,10.74,2:26.884,2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,RankingRaces-Heats,6
