START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,12.89,12.89,2,13.08,13.08,3,13.22,13.22,6,13.70,13.70,4,13.35,13.35,5,13.56,13.56,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Rep.Heats,2
2,20.57,33.46,4,20.52,33.60,3,20.29,33.51,6,20.30,34.00,1,20.01,33.36,5,20.30,33.86,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Rep.Heats,2
1,15.30,48.76,5,15.54,49.14,2,15.39,48.90,4,15.10,49.10,3,15.67,49.03,6,15.39,49.25,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Rep.Heats,2
2,14.32,1:03.08,5,14.31,1:03.45,1,14.07,1:02.97,3,14.14,1:03.24,4,14.31,1:03.34,6,14.31,1:03.56,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Rep.Heats,2
2,13.68,1:16.76,5,13.64,1:17.09,1,13.65,1:16.62,4,13.74,1:16.98,3,13.53,1:16.87,6,13.69,1:17.25,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Rep.Heats,2
2,12.82,1:29.58,5,12.89,1:29.98,1,12.88,1:29.50,4,12.86,1:29.84,3,12.85,1:29.72,6,12.88,1:30.13,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Rep.Heats,2
2,11.26,1:40.84,3,10.98,1:40.96,1,11.21,1:40.71,5,11.30,1:41.14,4,11.26,1:40.98,6,11.12,1:41.25,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Rep.Heats,2
3,10.17,1:51.01,1,9.88,1:50.84,2,10.18,1:50.89,5,10.13,1:51.27,4,10.17,1:51.15,6,10.09,1:51.34,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Rep.Heats,2
3,9.92,2:00.93,1,9.92,2:00.76,2,9.97,2:00.86,6,10.04,2:01.31,5,10.06,2:01.21,4,9.85,2:01.19,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Rep.Heats,2
3,10.20,2:11.13,1,10.15,2:10.91,2,10.17,2:11.03,5,10.14,2:11.45,6,10.58,2:11.79,4,10.09,2:11.28,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Rep.Heats,2
3,10.33,2:21.46,1,10.34,2:21.25,2,10.34,2:21.37,4,10.19,2:21.64,6,10.25,2:22.04,5,10.39,2:21.67,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Rep.Heats,2
3,10.01,2:31.47,1,9.96,2:31.21,2,9.96,2:31.33,4,10.33,2:31.97,6,10.37,2:32.41,5,10.41,2:32.08,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Rep.Heats,2
3,9.99,2:41.46,1,9.98,2:41.19,2,9.97,2:41.30,4,10.54,2:42.51,6,10.73,2:43.14,5,10.76,2:42.84,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Rep.Heats,2
3,9.95,2:51.399,0,,PHOTO,0,,PHOTO,4,10.88,2:53.356,6,11.07,2:54.197,5,11.33,2:54.145,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(1),w,Rep.Heats,2
