START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,8.569,8.569,4,8.712,8.712,2,8.532,8.532,1,7.637,7.637,5,8.951,8.951,2004-2005,"2004 World Cup 3, USA",1500M,m,Heats,1
3,11.488,20.056,4,11.490,20.201,2,11.512,20.043,1,11.286,18.922,5,11.386,20.336,2004-2005,"2004 World Cup 3, USA",1500M,m,Heats,1
3,10.998,31.054,4,10.959,31.160,2,10.875,30.918,1,10.897,29.819,5,10.965,31.301,2004-2005,"2004 World Cup 3, USA",1500M,m,Heats,1
3,10.583,41.636,4,10.537,41.696,2,10.199,41.117,1,10.828,40.647,5,10.625,41.925,2004-2005,"2004 World Cup 3, USA",1500M,m,Heats,1
4,10.354,51.990,3,10.270,51.965,2,10.779,51.896,1,10.525,51.171,5,10.343,52.268,2004-2005,"2004 World Cup 3, USA",1500M,m,Heats,1
4,10.530,1:02.520,2,10.232,1:02.197,3,10.421,1:02.316,1,10.718,1:01.888,5,10.419,1:02.687,2004-2005,"2004 World Cup 3, USA",1500M,m,Heats,1
4,10.383,1:12.902,3,10.461,1:12.658,2,10.313,1:12.629,1,10.380,1:12.268,5,10.329,1:13.015,2004-2005,"2004 World Cup 3, USA",1500M,m,Heats,1
4,10.304,1:23.206,3,10.313,1:22.971,2,10.332,1:22.960,1,10.428,1:22.695,5,10.240,1:23.255,2004-2005,"2004 World Cup 3, USA",1500M,m,Heats,1
4,10.797,1:34.003,3,10.830,1:33.800,2,10.634,1:33.594,1,10.562,1:33.257,5,10.796,1:34.051,2004-2005,"2004 World Cup 3, USA",1500M,m,Heats,1
2,9.834,1:43.836,3,10.093,1:43.893,1,10.156,1:43.749,4,10.775,1:44.031,5,10.161,1:44.211,2004-2005,"2004 World Cup 3, USA",1500M,m,Heats,1
1,9.684,1:53.520,2,9.694,1:53.586,3,9.984,1:53.732,5,9.972,1:54.003,4,9.655,1:53.866,2004-2005,"2004 World Cup 3, USA",1500M,m,Heats,1
2,9.576,2:03.095,1,9.382,2:02.968,5,28.963,2:22.695,4,10.020,2:04.022,3,9.372,2:03.237,2004-2005,"2004 World Cup 3, USA",1500M,m,Heats,1
3,9.741,2:12.835,2,9.533,2:12.500,5,20.303,2:42.997,4,10.303,2:14.325,1,9.092,2:12.329,2004-2005,"2004 World Cup 3, USA",1500M,m,Heats,1
3,10.25,2:23.085,2,9.85,2:22.350,5,17.38,3:00.368,4,10.64,2:24.957,1,9.67,2:21.991,2004-2005,"2004 World Cup 3, USA",1500M,m,Heats,1
