START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
0,8.214,8.214,0,8.562,8.562,0,8.449,8.449,0,,,0,8.737,8.737,0,8.627,8.627,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,2
0,12.104,20.318,0,11.975,20.536,0,11.814,20.263,0,,,0,11.058,19.795,0,11.528,20.155,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,2
0,11.310,31.628,0,11.003,31.539,0,11.134,31.397,0,,,0,11.662,31.457,0,11.088,31.243,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,2
0,11.090,42.718,0,10.566,42.105,0,10.921,42.318,0,,,0,10.874,42.331,0,10.701,41.943,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,2
0,10.899,53.616,0,11.110,53.215,0,11.071,53.389,0,,,0,11.167,53.498,0,10.772,52.715,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,2
0,11.171,1:04.787,0,11.132,1:04.347,0,11.058,1:04.447,0,,,0,10.966,1:04.464,0,11.591,1:04.307,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,2
0,11.062,1:15.849,0,11.075,1:15.422,0,11.104,1:15.551,0,,,0,11.164,1:15.629,0,10.977,1:15.284,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,2
0,10.712,1:26.561,0,10.639,1:26.061,0,10.489,1:26.040,0,,,0,10.707,1:26.336,0,10.699,1:25.983,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,2
0,10.610,1:37.170,0,10.259,1:36.319,0,10.614,1:36.654,0,,,0,10.648,1:36.983,0,10.226,1:36.209,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,2
0,10.546,1:47.716,0,10.340,1:46.659,0,10.151,1:46.805,0,,,0,10.058,1:47.041,0,10.250,1:46.460,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,2
0,10.670,1:58.386,0,9.958,1:56.617,0,10.214,1:57.019,0,,,0,10.680,1:57.721,0,10.487,1:56.947,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,2
0,10.819,2:09.205,0,10.029,2:06.646,0,9.922,2:06.940,0,,,0,9.963,2:07.684,0,10.372,2:07.318,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,2
0,10.906,2:20.111,0,10.169,2:16.815,0,11.785,2:18.726,0,,,0,10.988,2:18.672,0,18.469,2:25.787,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,2
0,,,0,,,0,,,0,,,0,,,0,,,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,m,Heats,2
