START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,8.09,8.09,1,7.95,7.95,4,8.33,8.33,3,8.20,8.20,5,8.47,8.47,6,8.61,8.61,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,5
2,10.60,18.69,1,10.44,18.39,4,10.59,18.92,3,10.58,18.78,5,10.56,19.03,6,10.54,19.15,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,5
3,10.36,29.05,1,10.10,28.49,4,10.26,29.18,2,10.21,28.99,5,10.27,29.30,6,10.25,29.40,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,5
3,9.84,38.89,1,10.05,38.54,4,9.85,39.03,2,9.75,38.74,5,9.81,39.11,6,9.79,39.19,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,5
3,10.11,49.00,1,10.25,48.79,4,10.07,49.10,2,10.15,48.89,5,10.09,49.20,6,10.11,49.30,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,5
3,10.13,59.13,1,10.14,58.93,4,10.12,59.22,2,10.12,59.01,5,10.13,59.33,6,10.15,59.45,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,5
3,10.14,1:09.27,1,10.16,1:09.09,4,10.13,1:09.35,2,10.14,1:09.15,5,10.14,1:09.47,6,10.15,1:09.60,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,5
3,10.29,1:19.56,1,10.27,1:19.36,4,10.30,1:19.65,2,10.30,1:19.45,5,10.25,1:19.72,6,10.21,1:19.81,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,5
3,10.14,1:29.70,1,10.27,1:29.63,4,10.16,1:29.81,2,10.23,1:29.68,5,10.22,1:29.94,6,10.24,1:30.05,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,5
1,9.63,1:39.33,6,10.09,1:39.72,2,9.60,1:39.41,4,9.97,1:39.65,3,9.59,1:39.53,5,9.64,1:39.69,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,5
2,9.76,1:49.09,6,10.24,1:49.96,1,9.58,1:48.99,4,9.71,1:49.36,3,9.65,1:49.18,5,9.95,1:49.64,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,5
2,9.60,1:58.69,6,10.32,2:00.28,1,9.61,1:58.60,4,9.55,1:58.91,3,9.59,1:58.77,5,9.58,1:59.22,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,5
3,9.62,2:08.31,5,10.80,2:11.08,1,9.51,2:08.11,6,21.14,2:20.05,2,9.52,2:08.29,4,9.79,2:09.01,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,5
3,9.85,2:18.160,5,11.47,2:22.545,1,9.64,2:17.751,6,15.33,2:35.376,2,9.70,2:17.983,4,10.40,2:19.408,2010-2011,"ISU World Cup 2010/2011, CAN, Montreal",1500m(1),m,Heats,5
