START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,10.74,10.74,1,10.59,10.59,4,10.87,10.87,6,11.21,11.21,3,10.86,10.86,5,11.05,11.05,2016-2017,ISU World Short Track Championships 2017,1500m,w,RankingFinals,4
1,15.52,26.26,3,15.72,26.31,4,15.53,26.40,6,15.38,26.59,4,15.54,26.40,2,15.25,26.30,2016-2017,ISU World Short Track Championships 2017,1500m,w,RankingFinals,4
3,13.48,39.74,4,13.55,39.86,1,13.24,39.64,6,13.56,40.15,5,13.61,40.01,2,13.36,39.66,2016-2017,ISU World Short Track Championships 2017,1500m,w,RankingFinals,4
3,12.68,52.42,4,12.65,52.51,1,12.70,52.34,5,12.47,52.62,6,12.66,52.67,2,12.75,52.41,2016-2017,ISU World Short Track Championships 2017,1500m,w,RankingFinals,4
2,12.41,1:04.83,1,12.29,1:04.80,3,12.54,1:04.88,6,12.43,1:05.05,4,12.23,1:04.90,5,12.53,1:04.94,2016-2017,ISU World Short Track Championships 2017,1500m,w,RankingFinals,4
3,11.36,1:16.19,2,11.29,1:16.09,5,11.42,1:16.30,6,11.36,1:16.41,4,11.35,1:16.25,1,11.11,1:16.05,2016-2017,ISU World Short Track Championships 2017,1500m,w,RankingFinals,4
2,10.64,1:26.83,5,10.83,1:26.92,3,10.55,1:26.85,6,10.66,1:27.07,4,10.65,1:26.90,1,10.72,1:26.77,2016-2017,ISU World Short Track Championships 2017,1500m,w,RankingFinals,4
3,10.60,1:37.43,4,10.63,1:37.55,2,10.48,1:37.33,6,10.71,1:37.78,5,10.75,1:37.65,1,10.48,1:37.25,2016-2017,ISU World Short Track Championships 2017,1500m,w,RankingFinals,4
3,10.25,1:47.68,4,10.23,1:47.78,2,10.27,1:47.60,6,10.22,1:48.00,5,10.25,1:47.90,1,10.27,1:47.52,2016-2017,ISU World Short Track Championships 2017,1500m,w,RankingFinals,4
2,10.03,1:57.71,4,10.12,1:57.90,3,10.20,1:57.80,6,10.11,1:58.11,5,10.11,1:58.01,1,10.08,1:57.60,2016-2017,ISU World Short Track Championships 2017,1500m,w,RankingFinals,4
3,9.83,2:07.54,4,9.66,2:07.56,2,9.69,2:07.49,6,9.70,2:07.81,5,9.57,2:07.58,1,9.85,2:07.45,2016-2017,ISU World Short Track Championships 2017,1500m,w,RankingFinals,4
5,10.03,2:17.57,4,9.90,2:17.46,1,9.55,2:17.04,6,9.81,2:17.62,3,9.85,2:17.43,2,9.89,2:17.34,2016-2017,ISU World Short Track Championships 2017,1500m,w,RankingFinals,4
6,9.93,2:27.50,3,9.71,2:27.17,1,9.80,2:26.84,5,9.65,2:27.27,4,9.80,2:27.23,2,9.75,2:27.09,2016-2017,ISU World Short Track Championships 2017,1500m,w,RankingFinals,4
6,9.67,2:37.165,3,9.73,2:36.879,1,9.95,2:36.781,5,9.81,2:37.070,4,9.75,2:36.974,2,9.76,2:36.846,2016-2017,ISU World Short Track Championships 2017,1500m,w,RankingFinals,4
