START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,11.02,11.02,1,10.74,10.74,3,10.99,10.99,2,10.87,10.87,5,11.22,11.22,6,11.38,11.38,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(2),w,Quarterfinals,3
4,14.36,25.38,2,14.30,25.04,3,14.20,25.19,1,14.10,24.97,5,14.25,25.47,6,14.25,25.63,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(2),w,Quarterfinals,3
4,12.54,37.92,2,12.58,37.62,3,12.54,37.73,1,12.59,37.56,5,12.56,38.03,6,12.52,38.15,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(2),w,Quarterfinals,3
5,12.82,50.74,1,12.77,50.39,3,12.90,50.63,2,12.92,50.48,4,12.61,50.64,6,12.60,50.75,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(2),w,Quarterfinals,3
3,11.04,1:01.78,5,11.48,1:01.87,6,11.25,1:01.88,2,11.26,1:01.74,1,11.08,1:01.72,4,11.10,1:01.85,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(2),w,Quarterfinals,3
1,10.11,1:11.89,6,10.61,1:12.48,4,10.33,1:12.21,2,10.22,1:11.96,3,10.33,1:12.05,5,10.48,1:12.33,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(2),w,Quarterfinals,3
2,10.97,1:22.86,6,11.42,1:23.90,3,10.74,1:22.95,1,10.81,1:22.77,4,11.10,1:23.15,5,11.26,1:23.59,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(2),w,Quarterfinals,3
2,10.33,1:33.19,6,12.71,1:36.61,3,10.40,1:33.35,1,10.29,1:33.06,4,10.29,1:33.44,5,10.03,1:33.62,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(2),w,Quarterfinals,3
2,10.36,1:43.55,6,11.38,1:47.99,4,10.37,1:43.72,1,10.36,1:43.42,3,10.27,1:43.71,5,10.25,1:43.87,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(2),w,Quarterfinals,3
3,9.57,1:53.12,6,11.01,1:59.00,5,9.84,1:53.56,1,9.67,1:53.09,1,9.38,1:53.09,4,9.41,1:53.28,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(2),w,Quarterfinals,3
2,9.25,2:02.37,6,10.78,2:09.78,5,9.99,2:03.55,4,9.56,2:02.65,1,9.00,2:02.09,3,9.24,2:02.52,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(2),w,Quarterfinals,3
2,9.34,2:11.71,6,11.44,2:21.22,5,10.67,2:14.22,4,9.38,2:12.03,1,9.44,2:11.53,3,9.27,2:11.79,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(2),w,Quarterfinals,3
2,9.60,2:21.31,6,11.66,2:32.88,5,11.20,2:25.42,4,9.49,2:21.52,1,9.60,2:21.13,3,9.64,2:21.43,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(2),w,Quarterfinals,3
3,9.87,2:31.18,6,11.76,2:44.64,5,11.68,2:37.10,4,9.75,2:31.27,1,9.80,2:30.93,2,9.60,2:31.03,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(2),w,Quarterfinals,3
