START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,9.08,9.08,4,9.45,9.45,3,9.31,9.31,2,9.20,9.20,5,9.59,9.59,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,5
2,12.58,21.66,4,12.49,21.94,3,12.48,21.79,1,12.34,21.54,5,12.58,22.17,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,5
2,11.13,32.79,4,11.12,33.06,3,11.14,32.93,1,11.16,32.70,5,11.03,33.20,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,5
2,10.71,43.50,4,10.68,43.74,3,10.71,43.64,1,10.69,43.39,5,10.65,43.85,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,5
2,10.40,53.90,4,10.40,54.14,3,10.41,54.05,1,10.41,53.80,5,10.41,54.26,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,5
2,10.28,1:04.18,4,10.29,1:04.43,3,10.27,1:04.32,1,10.28,1:04.08,5,10.28,1:04.54,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,5
2,9.98,1:14.16,5,10.10,1:14.53,3,9.95,1:14.27,1,10.01,1:14.09,4,9.84,1:14.38,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,5
3,9.62,1:23.78,5,9.51,1:24.04,2,9.41,1:23.68,1,9.49,1:23.58,4,9.52,1:23.90,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,5
3,9.27,1:33.05,5,9.25,1:33.29,2,9.29,1:32.97,1,9.32,1:32.90,4,9.28,1:33.18,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,5
2,9.09,1:42.14,5,9.39,1:42.68,3,9.27,1:42.24,1,9.12,1:42.02,4,9.19,1:42.37,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,5
2,9.12,1:51.26,5,9.65,1:52.33,3,9.09,1:51.33,1,9.11,1:51.13,4,9.04,1:51.41,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,5
3,9.00,2:00.26,5,10.13,2:02.46,2,8.92,2:00.25,1,9.00,2:00.13,4,9.02,2:00.43,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,5
3,9.29,2:09.55,5,10.57,2:13.03,2,9.20,2:09.45,1,9.08,2:09.21,4,9.17,2:09.60,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,5
4,9.78,2:19.33,5,11.31,2:24.34,2,9.45,2:18.90,1,9.39,2:18.60,3,9.52,2:19.12,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,5
