START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,9.230,9.230,3,9.030,9.030,6,9.680,9.680,1,8.770,8.770,5,9.610,9.610,2,8.800,8.800,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,6
4,12.390,21.620,3,12.420,21.450,6,12.150,21.830,1,12.060,20.830,5,12.140,21.760,2,12.390,21.200,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,6
4,12.120,33.740,2,11.820,33.280,5,12.020,33.860,1,12.430,33.260,6,12.290,34.050,3,12.170,33.370,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,6
4,11.990,45.730,2,12.090,45.380,5,12.150,46.020,1,11.840,45.110,6,12.140,46.200,3,12.030,45.410,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,6
4,12.020,57.760,2,12.160,57.540,5,11.950,57.970,3,12.560,57.680,6,11.900,58.100,1,11.860,57.270,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,6
3,12.120,1:09.880,2,12.090,1:09.640,5,12.260,1:10.240,4,12.250,1:09.930,6,12.170,1:10.270,1,12.240,1:09.510,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,6
5,10.820,1:20.710,3,10.590,1:20.240,4,10.350,1:20.590,2,10.260,1:20.200,6,10.550,1:20.820,1,10.660,1:20.180,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,6
6,10.910,1:31.620,5,10.310,1:30.550,4,9.860,1:30.460,3,10.160,1:30.360,1,9.470,1:30.290,2,10.170,1:30.350,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,6
6,10.660,1:42.280,4,9.740,1:40.290,2,9.640,1:40.100,3,9.830,1:40.190,1,9.670,1:39.970,5,9.990,1:40.350,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,6
6,11.230,1:53.520,3,9.900,1:50.190,2,9.810,1:49.910,4,10.080,1:50.280,1,9.930,1:49.900,5,10.250,1:50.610,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,6
6,11.550,2:05.080,4,10.120,2:00.310,2,10.030,1:59.940,3,9.890,2:00.170,1,9.990,1:59.900,5,10.630,2:01.250,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,6
6,11.810,2:16.890,3,9.830,2:10.150,1,9.720,2:09.670,4,10.840,2:11.020,2,9.830,2:09.730,5,11.290,2:12.540,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,6
6,11.890,2:28.780,4,12.760,2:22.920,1,9.540,2:19.210,3,9.930,2:20.950,2,9.600,2:19.330,5,11.820,2:24.360,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,6
6,12.270,2:41.060,4,12.300,2:35.220,1,9.680,2:28.900,3,11.450,2:32.410,2,9.780,2:29.120,5,12.450,2:36.820,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,6
