START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,9.09,9.09,3,9.37,9.37,2,9.22,9.22,4,9.43,9.43,5,9.57,9.57,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepQuarterfinals,2
1,13.05,22.14,4,13.19,22.56,3,13.07,22.29,5,13.30,22.73,2,12.71,22.28,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepQuarterfinals,2
1,10.97,33.11,4,10.98,33.54,2,10.96,33.25,5,10.92,33.65,3,11.12,33.40,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepQuarterfinals,2
1,11.06,44.17,4,10.97,44.51,2,11.03,44.28,5,10.98,44.63,3,11.01,44.41,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepQuarterfinals,2
1,11.07,55.24,4,11.14,55.65,2,11.07,55.35,5,11.13,55.76,3,11.09,55.50,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepQuarterfinals,2
1,10.96,1:06.20,4,10.85,1:06.50,2,10.99,1:06.34,5,10.88,1:06.64,3,10.99,1:06.49,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepQuarterfinals,2
1,10.27,1:16.47,3,10.21,1:16.71,2,10.24,1:16.58,4,10.15,1:16.79,5,10.50,1:16.99,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepQuarterfinals,2
1,10.25,1:26.72,3,10.23,1:26.94,2,10.23,1:26.81,4,10.26,1:27.05,5,10.18,1:27.17,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepQuarterfinals,2
1,9.96,1:36.68,3,10.00,1:36.94,2,9.99,1:36.80,4,10.01,1:37.06,5,10.12,1:37.29,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepQuarterfinals,2
1,9.86,1:46.54,3,9.83,1:46.77,2,9.86,1:46.66,4,9.82,1:46.88,5,10.45,1:47.74,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepQuarterfinals,2
1,9.76,1:56.30,3,9.71,1:56.48,2,9.76,1:56.42,4,9.60,1:56.48,5,11.07,1:58.81,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepQuarterfinals,2
1,9.77,2:06.07,4,9.79,2:06.27,2,9.78,2:06.20,3,9.73,2:06.21,5,11.62,2:10.43,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepQuarterfinals,2
1,9.80,2:15.87,4,9.78,2:16.05,2,9.79,2:15.99,3,9.81,2:16.02,5,11.88,2:22.31,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepQuarterfinals,2
1,10.07,2:25.935,3,10.09,2:26.140,4,10.39,2:26.373,2,10.00,2:26.018,5,11.83,2:34.131,2010-2011,"ISU World Cup 2010/2011, CHN, Shanghai",1500m(2),m,RepQuarterfinals,2
