START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,9.16,9.16,4,9.42,9.42,2,9.19,9.19,3,9.30,9.30,5,9.56,9.56,6,9.68,9.68,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,w,Heats,4
2,12.70,21.86,4,12.62,22.04,1,12.57,21.76,3,12.63,21.93,5,12.61,22.17,6,12.60,22.28,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,w,Heats,4
1,12.33,34.19,4,12.40,34.44,3,12.58,34.34,2,12.33,34.26,5,12.47,34.64,6,12.46,34.74,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,w,Heats,4
3,11.52,45.71,1,11.00,45.44,4,11.51,45.85,2,11.34,45.60,5,11.37,46.01,6,11.37,46.11,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,w,Heats,4
3,11.10,56.81,1,11.14,56.58,4,11.07,56.92,2,11.09,56.69,5,11.04,57.05,6,11.01,57.12,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,w,Heats,4
3,11.25,1:08.06,1,11.27,1:07.85,4,11.23,1:08.15,2,11.25,1:07.94,5,11.24,1:08.29,6,11.26,1:08.38,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,w,Heats,4
3,11.32,1:19.38,1,11.34,1:19.19,4,11.33,1:19.48,2,11.33,1:19.27,5,11.33,1:19.62,6,11.34,1:19.72,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,w,Heats,4
3,10.87,1:30.25,2,10.97,1:30.16,4,10.88,1:30.36,1,10.70,1:29.97,5,10.82,1:30.44,6,10.84,1:30.56,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,w,Heats,4
3,10.82,1:41.07,2,10.79,1:40.95,4,10.80,1:41.16,1,10.86,1:40.83,5,10.81,1:41.25,6,10.77,1:41.33,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,w,Heats,4
3,10.31,1:51.38,2,10.32,1:51.27,4,10.34,1:51.50,1,10.35,1:51.18,5,10.39,1:51.64,6,10.39,1:51.72,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,w,Heats,4
3,10.39,2:01.77,2,10.39,2:01.66,4,10.39,2:01.89,1,10.36,2:01.54,5,10.35,2:01.99,6,10.51,2:02.23,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,w,Heats,4
3,9.91,2:11.68,2,9.94,2:11.60,4,9.99,2:11.88,1,10.00,2:11.54,5,9.96,2:11.95,6,10.45,2:12.68,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,w,Heats,4
1,9.55,2:21.23,2,9.81,2:21.41,5,10.05,2:21.93,3,9.90,2:21.44,4,9.69,2:21.64,6,10.92,2:23.60,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,w,Heats,4
1,9.89,2:31.113,3,9.76,2:31.170,5,10.29,2:32.220,4,9.97,2:31.403,2,9.53,2:31.168,6,11.68,2:35.277,2011-2012,"ISU World Cup 2011/2012, NED, Dordrecht",1500m,w,Heats,4
