START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,10.95,10.95,5,11.11,11.11,1,10.41,10.41,2,10.60,10.60,3,10.82,10.82,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,m,Preliminaries,14
4,16.30,27.25,5,16.41,27.52,1,16.39,26.80,2,16.40,27.00,3,16.33,27.15,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,m,Preliminaries,14
4,16.63,43.88,5,16.58,44.10,2,16.79,43.59,3,16.68,43.68,1,16.35,43.50,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,m,Preliminaries,14
4,15.32,59.20,5,15.38,59.48,3,15.48,59.07,2,15.27,58.95,1,15.25,58.75,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,m,Preliminaries,14
4,13.58,1:12.78,4,13.30,1:12.78,3,13.61,1:12.68,1,13.48,1:12.43,2,13.83,1:12.58,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,m,Preliminaries,14
5,11.07,1:23.85,1,10.84,1:23.62,3,11.07,1:23.75,2,11.29,1:23.72,4,11.22,1:23.80,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,m,Preliminaries,14
1,9.60,1:33.45,3,10.10,1:33.72,2,9.86,1:33.61,4,10.11,1:33.83,5,10.20,1:34.00,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,m,Preliminaries,14
3,10.10,1:43.55,2,9.81,1:43.53,1,9.83,1:43.44,4,9.90,1:43.73,5,9.86,1:43.86,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,m,Preliminaries,14
3,10.03,1:53.58,2,9.94,1:53.47,1,9.92,1:53.36,4,9.96,1:53.69,5,9.93,1:53.79,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,m,Preliminaries,14
4,10.00,2:03.58,2,10.02,2:03.49,1,10.03,2:03.39,3,9.85,2:03.54,5,9.89,2:03.68,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,m,Preliminaries,14
5,9.68,2:13.26,4,9.56,2:13.05,1,9.43,2:12.82,2,9.37,2:12.91,3,9.27,2:12.95,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,m,Preliminaries,14
5,9.30,2:22.56,4,9.28,2:22.33,1,9.10,2:21.92,3,9.38,2:22.29,2,9.17,2:22.12,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,m,Preliminaries,14
5,9.29,2:31.85,2,8.68,2:31.01,1,8.97,2:30.89,4,9.08,2:31.37,3,9.06,2:31.18,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,m,Preliminaries,14
5,9.64,2:41.491,2,8.81,2:39.82,1,8.85,2:39.74,4,8.99,2:40.364,3,9.08,2:40.26,2017-2018,Audi ISU World Cup 2017/18 - Shanghai (CHN),1500m,m,Preliminaries,14
