START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
3,10.55,10.55,5,10.71,10.71,1,10.21,10.21,2,10.38,10.38,7,10.87,,6,10.83,10.83,4,10.66,10.66,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,8
3,14.55,25.10,4,14.56,25.27,1,14.63,24.84,2,14.60,24.98,7,14.76,,6,14.70,25.53,5,14.76,25.42,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,8
3,13.29,38.39,4,13.18,38.45,1,13.31,38.15,2,13.31,38.29,7,13.28,,6,13.15,38.68,5,13.07,38.49,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,8
4,11.73,50.12,1,10.93,49.38,2,11.66,49.81,3,11.72,50.01,7,11.98,,6,11.70,50.38,5,11.74,50.23,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,8
4,10.12,1:00.24,1,9.57,58.95,2,10.15,59.96,3,10.14,1:00.15,7,11.29,,6,10.04,1:00.42,5,10.10,1:00.33,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,8
4,9.89,1:10.13,1,9.52,1:08.47,2,9.93,1:09.89,3,9.88,1:10.03,7,11.36,,6,9.95,1:10.37,5,9.87,1:10.20,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,8
4,9.90,1:20.03,1,9.77,1:18.24,2,9.94,1:19.83,3,9.91,1:19.94,7,11.87,,6,9.89,1:20.26,5,9.97,1:20.17,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,8
4,9.96,1:29.99,1,9.96,1:28.20,2,9.96,1:29.79,3,9.94,1:29.88,7,12.51,,6,9.96,1:30.22,5,9.90,1:30.07,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,8
4,9.77,1:39.76,1,10.19,1:38.39,2,9.80,1:39.59,3,9.78,1:39.66,7,13.65,,6,10.09,1:40.31,5,9.74,1:39.81,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,8
4,9.64,1:49.40,3,10.93,1:49.32,1,9.67,1:49.26,2,9.65,1:49.31,7,12.95,,6,10.47,1:50.78,5,9.61,1:49.42,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,8
1,9.58,1:58.98,5,10.60,1:59.92,2,9.82,1:59.08,3,9.81,1:59.12,7,13.62,,6,11.07,2:01.85,4,9.76,1:59.18,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,8
1,9.55,2:08.53,5,11.17,2:11.09,4,10.00,2:09.08,2,9.48,2:08.60,7,14.16,,6,11.61,2:13.46,3,9.81,2:08.99,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,8
2,9.87,2:18.40,5,12.03,2:23.12,4,10.05,2:19.13,1,9.65,2:18.25,7,14.65,,6,12.18,2:25.64,3,9.81,2:18.80,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,8
2,9.98,2:28.38,5,12.71,2:35.83,4,10.22,2:29.35,1,9.83,2:28.08,7,15.18,3:02.13,6,12.18,2:37.82,3,9.82,2:28.62,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,8
