START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,10.28,10.28,3,10.79,10.79,5,11.08,11.08,6,11.29,11.29,4,10.95,10.95,2,10.54,10.54,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,3
1,14.35,24.63,3,14.17,24.96,5,14.23,25.31,6,14.18,25.47,4,14.23,25.18,2,14.10,24.64,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,3
2,12.99,37.62,3,12.85,37.81,5,12.82,38.13,6,12.83,38.30,4,12.81,37.99,1,12.83,37.47,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,3
2,12.34,49.96,3,12.21,50.02,5,12.23,50.36,6,12.20,50.50,4,12.24,50.23,1,12.38,49.85,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,3
4,11.59,1:01.55,2,11.37,1:01.39,5,11.27,1:01.63,6,11.42,1:01.92,3,11.27,1:01.50,1,11.41,1:01.26,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,3
5,10.15,1:11.70,3,10.01,1:11.40,4,9.93,1:11.56,6,9.95,1:11.87,1,9.67,1:11.17,2,10.04,1:11.30,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,3
5,9.31,1:21.01,1,9.14,1:20.54,4,9.27,1:20.83,6,9.25,1:21.12,2,9.50,1:20.67,3,9.45,1:20.75,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,3
5,9.51,1:30.52,1,9.49,1:30.03,4,9.52,1:30.35,6,9.55,1:30.67,2,9.48,1:30.15,3,9.49,1:30.24,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,3
5,9.31,1:39.83,1,9.38,1:39.41,4,9.37,1:39.72,6,9.29,1:39.96,2,9.40,1:39.55,3,9.39,1:39.63,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,3
5,9.44,1:49.27,1,9.36,1:48.77,4,9.38,1:49.10,6,9.33,1:49.29,2,9.32,1:48.87,3,9.36,1:48.99,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,3
6,9.55,1:58.82,1,9.30,1:58.07,3,9.12,1:58.22,5,9.17,1:58.46,2,9.29,1:58.16,4,9.27,1:58.26,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,3
6,9.82,2:08.64,2,9.05,2:07.12,3,9.09,2:07.31,4,9.08,2:07.54,1,8.82,2:06.98,5,9.41,2:07.67,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,3
6,10.37,2:19.01,2,9.16,2:16.28,3,9.07,2:16.38,4,8.98,2:16.52,1,9.18,2:16.16,5,9.22,2:16.89,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,3
6,10.68,2:29.69,2,9.22,2:25.50,4,9.33,2:25.71,3,9.09,2:25.61,1,9.23,2:25.39,5,9.47,2:26.36,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Heats,3
