START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.12,9.12,4,9.30,9.30,5,9.38,9.38,6,9.44,9.44,1,9.11,9.11,3,9.15,9.15,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,2
4,12.41,21.53,5,12.37,21.67,6,12.42,21.80,2,11.93,21.37,1,12.21,21.32,3,12.27,21.42,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,2
4,11.33,32.86,5,11.30,32.97,6,11.23,33.03,1,11.23,32.60,2,11.31,32.63,3,11.35,32.77,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,2
2,11.28,44.14,5,11.36,44.33,6,11.42,44.45,3,11.58,44.18,1,11.50,44.13,4,11.52,44.29,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,2
2,10.60,54.74,3,10.42,54.75,6,10.66,55.11,4,10.72,54.90,1,10.52,54.65,5,10.72,55.01,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,2
3,10.29,1:05.03,1,10.15,1:04.90,6,10.23,1:05.34,5,10.21,1:05.11,2,10.30,1:04.95,4,10.06,1:05.07,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,2
4,10.14,1:15.17,3,10.19,1:15.09,6,10.14,1:15.48,5,10.20,1:15.31,2,10.04,1:14.99,1,9.84,1:14.91,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,2
1,9.99,1:25.16,4,10.51,1:25.60,6,10.49,1:25.97,5,10.42,1:25.73,3,10.49,1:25.48,2,10.44,1:25.35,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,2
1,9.94,1:35.10,4,9.91,1:35.51,6,10.28,1:36.25,5,10.11,1:35.84,3,9.85,1:35.33,2,9.87,1:35.22,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,2
1,10.05,1:45.15,4,9.98,1:45.49,6,10.43,1:46.68,5,10.17,1:46.01,3,10.03,1:45.36,2,10.03,1:45.25,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,2
1,10.15,1:55.30,4,10.15,1:55.64,6,10.77,1:57.45,5,10.59,1:56.60,3,10.15,1:55.51,2,10.16,1:55.41,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,2
1,10.29,2:05.59,4,10.24,2:05.88,6,11.09,2:08.54,5,10.87,2:07.47,3,10.30,2:05.81,2,10.31,2:05.72,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,2
1,10.24,2:15.83,3,10.18,2:16.06,6,11.39,2:19.93,5,11.29,2:18.76,4,10.37,2:16.18,2,10.23,2:15.95,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,2
1,10.42,2:26.244,3,10.38,2:26.439,6,11.54,2:31.469,5,11.68,2:30.437,4,10.30,2:26.476,2,10.46,2:26.408,2013-2014,ISU European Short Track Speed Skating Championships 2014,1500m,w,Heats,2
