START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.85,9.85,3,9.86,9.86,4,9.98,9.98,1,9.85,9.85,6,10.21,10.21,5,10.15,10.15,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,11
5,14.13,23.98,2,13.90,23.76,4,13.88,23.86,1,13.81,23.66,3,13.61,23.82,6,13.92,24.07,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,11
4,12.27,36.25,2,12.38,36.14,5,12.39,36.25,1,12.40,36.06,3,12.34,36.16,6,12.27,36.34,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,11
3,12.30,48.55,2,12.31,48.45,5,12.47,48.72,1,12.29,48.35,4,12.50,48.66,6,12.41,48.75,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,11
1,11.68,1:00.23,3,12.16,1:00.61,4,12.01,1:00.73,2,12.08,1:00.43,5,12.21,1:00.87,6,12.16,1:00.91,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,11
2,11.50,1:11.73,4,11.30,1:11.91,5,11.31,1:12.04,3,11.44,1:11.87,1,10.83,1:11.70,6,11.66,1:12.57,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,11
2,10.36,1:22.09,3,10.27,1:22.18,5,10.52,1:22.56,4,10.43,1:22.30,1,10.35,1:22.05,6,12.46,1:25.03,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,11
2,10.55,1:32.64,3,10.61,1:32.79,5,10.53,1:33.09,4,10.59,1:32.89,1,10.49,1:32.54,6,13.18,1:38.21,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,11
1,9.97,1:42.61,3,10.13,1:42.92,5,10.24,1:43.33,4,10.04,1:42.93,2,10.24,1:42.78,6,15.03,1:53.24,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,11
1,10.04,1:52.65,3,9.88,1:52.80,5,10.54,1:53.87,2,9.80,1:52.73,4,10.03,1:52.81,6,13.62,2:06.86,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,11
2,10.20,2:02.85,3,10.09,2:02.89,5,11.38,2:05.25,1,9.89,2:02.62,4,10.11,2:02.92,6,13.57,2:20.43,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,11
3,10.42,2:13.27,2,10.00,2:12.89,5,11.71,2:16.96,1,10.13,2:12.75,4,10.42,2:13.34,6,15.69,2:36.12,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,11
4,10.66,2:23.93,2,10.17,2:23.06,5,12.02,2:28.98,1,10.22,2:22.97,3,9.98,2:23.32,6,14.35,2:50.47,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,11
4,11.05,2:34.978,2,10.58,2:33.633,5,12.32,2:41.297,1,10.57,2:33.532,3,10.49,2:33.802,6,14.46,3:04.926,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,11
