START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,9.47,9.47,5,9.54,9.54,6,9.74,9.74,1,9.20,9.20,2,9.33,9.33,2,9.33,9.33,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,7
5,12.77,22.24,1,12.25,21.79,6,12.61,22.35,2,12.72,21.92,4,12.71,22.04,3,12.67,22.00,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,7
5,12.44,34.68,1,12.43,34.22,6,12.47,34.82,2,12.39,34.31,4,12.50,34.54,3,12.40,34.40,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,7
3,12.71,47.39,1,13.06,47.28,6,12.83,47.65,2,13.06,47.37,5,13.04,47.58,4,13.10,47.50,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,7
1,10.97,58.36,2,11.32,58.60,6,11.43,59.08,2,11.23,58.60,5,11.39,58.97,4,11.31,58.81,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,7
1,10.70,1:09.06,6,10.81,1:09.41,4,10.28,1:09.36,2,10.59,1:09.19,4,10.39,1:09.36,3,10.47,1:09.28,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,7
2,10.68,1:19.74,4,10.50,1:19.91,6,10.76,1:20.12,1,10.54,1:19.73,5,10.63,1:19.99,3,10.59,1:19.87,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,7
4,10.21,1:29.95,1,9.76,1:29.67,6,9.99,1:30.11,2,10.02,1:29.75,5,10.06,1:30.05,3,10.00,1:29.87,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,7
5,10.04,1:39.99,1,9.98,1:39.65,4,9.79,1:39.90,2,9.98,1:39.73,6,10.07,1:40.12,3,9.95,1:39.82,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,7
5,10.04,1:50.03,1,9.96,1:49.61,4,9.96,1:49.86,2,9.90,1:49.63,6,10.02,1:50.14,3,9.89,1:49.71,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,7
5,9.33,1:59.36,3,9.62,1:59.23,4,9.41,1:59.27,1,9.07,1:58.70,5,9.22,1:59.36,2,9.32,1:59.03,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,7
4,9.35,2:08.71,3,9.37,2:08.60,6,9.95,2:09.22,1,9.00,2:07.70,5,9.39,2:08.75,2,8.98,2:08.01,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,7
4,9.69,2:18.40,3,9.70,2:18.30,6,10.15,2:19.37,1,9.07,2:16.77,5,9.69,2:18.44,2,9.06,2:17.07,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,7
5,9.99,2:28.39,0,9.92,2:28.22,6,10.57,2:29.94,1,9.23,2:26.00,0,9.77,2:28.21,2,9.30,2:26.37,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Quarterfinals,7
