START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
0,9.584,9.584,0,9.413,9.413,0,9.184,9.184,0,8.739,8.739,0,9.215,9.215,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3
0,13.108,22.692,0,13.025,22.438,0,12.746,21.930,0,13.327,22.066,0,12.943,22.158,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3
0,12.632,35.324,0,12.742,35.180,0,13.003,34.933,0,12.746,34.812,0,12.844,35.002,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3
0,12.352,47.676,0,12.371,47.551,0,12.259,47.191,0,12.282,47.094,0,12.292,47.293,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3
0,12.103,59.778,0,12.067,59.618,0,12.141,59.332,0,12.134,59.228,0,12.492,59.785,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3
0,11.385,1:11.164,0,11.380,1:10.998,0,11.418,1:10.750,0,11.391,1:10.619,0,10.961,1:10.746,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3
0,10.637,1:21.800,0,10.725,1:21.723,0,10.647,1:21.397,0,10.723,1:21.342,0,10.620,1:21.366,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3
0,10.530,1:32.330,0,10.565,1:32.287,0,10.581,1:31.978,0,10.604,1:31.946,0,10.696,1:32.063,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3
0,9.781,1:42.111,0,9.540,1:41.827,0,9.895,1:41.873,0,9.864,1:41.809,0,10.055,1:42.118,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3
0,9.455,1:51.565,0,9.708,1:51.535,0,9.672,1:51.546,0,9.818,1:51.628,0,9.639,1:51.757,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3
0,9.225,2:00.791,0,9.091,2:00.626,0,9.113,2:00.658,0,9.699,2:01.327,0,9.982,2:01.739,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3
0,9.549,2:10.340,0,9.484,2:10.109,0,9.517,2:10.175,0,9.651,2:10.978,0,10.136,2:11.875,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3
0,9.613,2:19.952,0,9.416,2:19.526,0,8.960,2:19.136,0,10.038,2:21.017,0,10.820,2:22.695,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3
0,,,0,,,0,,,0,,,0,,,2006-2007,"2007 ISU World Junior Championships, Czech Republic",1500m,m,Heats,3
