START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,10.92,10.92,4,11.20,11.20,6,11.62,,3,11.16,11.16,5,11.43,11.43,2,11.04,11.04,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,2
1,14.80,25.72,4,14.97,26.17,5,14.69,,3,14.85,26.01,6,15.07,26.50,2,14.81,25.85,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,2
2,13.18,38.90,5,13.14,39.31,6,13.19,,4,13.12,39.13,1,12.32,38.82,3,13.18,39.03,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,2
2,11.54,50.44,6,11.65,50.96,5,11.31,,4,11.56,50.69,1,11.52,50.34,3,11.55,50.58,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,2
2,11.28,1:01.72,6,11.09,1:02.05,5,11.20,,4,11.11,1:01.80,1,11.26,1:01.60,3,11.21,1:01.79,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,2
2,10.12,1:11.84,1,9.53,1:11.58,6,10.18,,3,10.11,1:11.91,4,10.32,1:11.92,5,10.28,1:12.07,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,2
1,9.65,1:21.49,2,10.00,1:21.58,6,9.74,,3,9.69,1:21.60,3,9.68,1:21.60,5,9.71,1:21.78,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,2
1,9.78,1:31.27,4,10.03,1:31.61,5,9.80,,3,9.83,1:31.43,2,9.74,1:31.34,6,10.03,1:31.81,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,2
1,10.08,1:41.35,4,10.03,1:41.64,5,10.00,,3,10.07,1:41.50,1,10.01,1:41.35,6,10.05,1:41.86,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,2
2,9.41,1:50.76,4,9.39,1:51.03,5,9.41,,3,9.38,1:50.88,1,9.30,1:50.65,6,9.42,1:51.28,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,2
1,8.93,1:59.69,4,8.97,2:00.00,5,8.95,,3,9.04,1:59.92,2,9.17,1:59.82,6,8.98,2:00.26,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,2
1,9.07,2:08.76,5,9.21,2:09.21,4,9.00,,3,9.07,2:08.99,2,9.04,2:08.86,6,9.03,2:09.29,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,2
1,9.09,2:17.85,4,9.12,2:18.33,3,9.12,,5,9.48,2:18.47,2,9.13,2:17.99,6,9.28,2:18.57,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,2
1,9.38,2:27.23,4,9.37,2:27.70,3,9.28,,5,9.39,2:27.86,2,9.29,2:27.28,6,9.68,2:28.25,2016-2017,ISU World Cup 2016/17 - Shanghai (CHN),1500m,m,Heats,2
