START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.817,8.817,2,8.889,8.889,3,9.042,9.042,5,9.589,9.589,4,9.124,9.124,2005-2006,"2005 World Cup 3, Italy",1500M,m,Heats,10
2,11.135,19.951,1,11.055,19.944,3,11.172,20.213,4,11.017,20.605,5,11.689,20.812,2005-2006,"2005 World Cup 3, Italy",1500M,m,Heats,10
2,10.375,30.325,1,10.238,30.181,3,10.228,30.440,5,10.578,31.183,4,10.037,30.848,2005-2006,"2005 World Cup 3, Italy",1500M,m,Heats,10
2,9.969,40.294,1,9.992,40.173,3,9.963,40.403,4,9.374,40.556,5,9.838,40.686,2005-2006,"2005 World Cup 3, Italy",1500M,m,Heats,10
1,9.963,50.256,2,10.132,50.304,3,9.986,50.388,5,10.091,50.647,4,9.843,50.529,2005-2006,"2005 World Cup 3, Italy",1500M,m,Heats,10
1,9.984,1:00.240,5,10.462,1:00.765,2,10.089,1:00.477,3,9.939,1:00.586,4,10.099,1:00.627,2005-2006,"2005 World Cup 3, Italy",1500M,m,Heats,10
2,9.987,1:10.227,4,9.696,1:10.461,1,9.651,1:10.127,3,9.758,1:10.344,5,9.925,1:10.552,2005-2006,"2005 World Cup 3, Italy",1500M,m,Heats,10
2,10.143,1:20.370,3,10.113,1:20.574,1,10.217,1:20.344,4,10.416,1:20.759,5,10.230,1:20.781,2005-2006,"2005 World Cup 3, Italy",1500M,m,Heats,10
2,10.175,1:30.544,5,10.478,1:31.051,1,10.168,1:30.511,3,9.805,1:30.564,4,9.992,1:30.773,2005-2006,"2005 World Cup 3, Italy",1500M,m,Heats,10
3,10.379,1:40.923,5,10.576,1:41.627,1,10.114,1:40.625,4,10.426,1:40.990,2,10.148,1:40.920,2005-2006,"2005 World Cup 3, Italy",1500M,m,Heats,10
4,10.314,1:51.236,5,10.980,1:52.606,1,9.593,1:50.217,2,9.381,1:50.370,3,9.630,1:50.549,2005-2006,"2005 World Cup 3, Italy",1500M,m,Heats,10
4,10.579,2:01.814,5,11.254,2:03.859,3,9.879,2:00.096,1,9.559,1:59.929,2,9.501,2:00.050,2005-2006,"2005 World Cup 3, Italy",1500M,m,Heats,10
4,10.957,2:12.771,5,11.575,2:15.434,1,9.196,2:09.291,3,10.011,2:09.939,2,9.888,2:09.937,2005-2006,"2005 World Cup 3, Italy",1500M,m,Heats,10
4,11.51,2:24.277,5,11.88,2:27.312,3,10.60,2:19.889,2,9.74,2:19.677,1,9.52,2:19.450,2005-2006,"2005 World Cup 3, Italy",1500M,m,Heats,10
