START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
6,9.23,9.23,7,9.51,9.51,4,9.15,9.15,2,9.02,,1,8.89,8.89,3,9.13,9.13,8,9.65,9.65,4,9.15,9.15,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Heats,3
6,12.34,21.57,6,12.06,21.57,2,12.04,21.19,4,12.38,,3,12.42,21.31,5,12.34,21.47,8,12.14,21.79,1,11.91,21.06,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Heats,3
7,11.93,33.50,5,11.70,33.27,2,11.79,32.98,3,11.65,,4,11.78,33.09,6,11.91,33.38,8,11.84,33.63,1,11.77,32.83,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Heats,3
7,11.08,44.58,5,11.06,44.33,2,11.03,44.01,3,11.02,,4,11.05,44.14,6,11.06,44.44,8,11.11,44.74,1,11.14,43.97,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Heats,3
7,10.30,54.88,3,10.37,54.70,1,10.55,54.56,5,10.72,,8,10.76,54.90,4,10.29,54.73,6,10.07,54.81,2,10.62,54.59,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Heats,3
7,10.13,1:05.01,2,9.58,1:04.28,4,9.83,1:04.39,5,9.78,,6,9.75,1:04.65,1,9.40,1:04.13,3,9.54,1:04.35,8,10.71,1:05.30,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Heats,3
7,9.24,1:14.25,2,9.48,1:13.76,4,9.52,1:13.91,5,9.45,,6,9.46,1:14.11,1,9.51,1:13.64,3,9.46,1:13.81,8,9.52,1:14.82,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Heats,3
7,9.40,1:23.65,2,9.57,1:23.33,5,9.56,1:23.47,1,9.28,,6,9.53,1:23.64,3,9.72,1:23.36,4,9.63,1:23.44,8,9.11,1:23.93,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Heats,3
6,9.49,1:33.14,3,9.32,1:32.65,2,9.15,1:32.62,1,9.26,,4,9.14,1:32.78,7,9.80,1:33.16,5,9.36,1:32.80,8,9.25,1:33.18,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Heats,3
6,9.34,1:42.48,2,9.50,1:42.15,4,9.66,1:42.28,1,9.49,,3,9.49,1:42.27,8,9.89,1:43.05,5,9.64,1:42.44,7,9.46,1:42.64,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Heats,3
5,9.57,1:52.05,1,9.50,1:51.65,3,9.61,1:51.89,2,9.73,,4,9.63,1:51.90,8,10.22,1:53.27,6,9.70,1:52.14,7,9.64,1:52.28,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Heats,3
5,9.46,2:01.51,1,9.41,2:01.06,3,9.45,2:01.34,2,9.43,,4,9.59,2:01.49,8,10.76,2:04.03,6,9.47,2:01.61,7,9.92,2:02.20,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Heats,3
5,9.63,2:11.14,1,9.05,2:10.11,3,9.22,2:10.56,2,9.18,,4,9.40,2:10.89,8,11.36,2:15.39,6,9.62,2:11.23,7,10.06,2:12.26,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Heats,3
8,26.33,2:37.47,1,9.01,2:19.12,3,9.40,2:19.96,2,9.40,,4,9.28,2:20.17,6,11.73,2:27.12,7,23.52,2:34.75,5,11.16,2:23.42,2015-2016,ISU World Cup 2015/16 - Montreal (CAN),1500m,m,Heats,3
