START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.02,9.02,3,9.11,9.11,1,8.92,8.92,5,9.23,9.23,4,9.22,9.22,6,9.37,9.37,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Quarterfinals,5
4,13.66,22.68,2,13.41,22.52,1,13.50,22.42,5,13.51,22.74,3,13.44,22.66,6,13.43,22.80,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Quarterfinals,5
5,12.40,35.08,2,12.09,34.61,3,12.34,34.76,1,11.68,34.42,4,12.22,34.88,6,12.51,35.31,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Quarterfinals,5
2,11.40,46.48,1,11.86,46.47,4,11.84,46.60,3,12.08,46.50,5,11.85,46.73,6,11.62,46.93,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Quarterfinals,5
1,10.97,57.45,2,11.08,57.55,4,11.19,57.79,3,11.17,57.67,5,11.21,57.94,6,11.11,58.04,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Quarterfinals,5
1,11.51,1:08.96,3,11.53,1:09.08,4,11.48,1:09.27,2,11.36,1:09.03,5,11.52,1:09.46,6,11.54,1:09.58,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Quarterfinals,5
2,10.72,1:19.68,4,10.74,1:19.82,3,10.50,1:19.77,1,10.57,1:19.60,5,10.42,1:19.88,6,10.71,1:20.29,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Quarterfinals,5
2,10.17,1:29.85,5,10.32,1:30.14,3,10.18,1:29.95,1,10.11,1:29.71,4,10.17,1:30.05,6,10.28,1:30.57,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Quarterfinals,5
2,10.43,1:40.28,5,10.53,1:40.67,3,10.44,1:40.39,1,10.44,1:40.15,4,10.46,1:40.51,6,10.61,1:41.18,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Quarterfinals,5
2,10.36,1:50.64,4,10.06,1:50.73,5,10.36,1:50.75,1,10.30,1:50.45,3,10.13,1:50.64,6,10.76,1:51.94,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Quarterfinals,5
2,10.62,2:01.26,3,10.63,2:01.36,5,10.97,2:01.72,1,10.72,2:01.17,4,10.95,2:01.59,6,12.15,2:04.09,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Quarterfinals,5
2,8.63,2:09.89,3,8.59,2:09.95,5,8.90,2:10.62,1,8.58,2:09.75,4,9.00,2:10.59,6,10.28,2:14.37,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Quarterfinals,5
2,9.97,2:19.86,3,10.24,2:20.19,4,10.07,2:20.69,1,9.56,2:19.31,5,10.40,2:20.99,6,11.57,2:25.94,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Quarterfinals,5
2,10.00,2:29.856,0,,PEN,3,10.55,2:31.232,1,10.02,2:29.322,4,11.01,2:31.995,5,11.94,2:37.875,2010-2011,"2011 ISU World Short Track Championships, Sheffield, GBR",1500m,m,Quarterfinals,5
