START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,7.92,7.92,1,7.80,7.80,5,8.33,8.33,4,8.17,8.17,3,8.06,8.06,6,8.42,8.42,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Heats,4
2,10.75,18.67,1,10.78,18.58,5,10.64,18.97,4,10.69,18.86,3,10.71,18.77,6,10.67,19.09,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Heats,4
3,10.91,29.58,1,10.92,29.50,6,10.96,29.93,4,10.92,29.78,2,10.76,29.53,5,10.79,29.88,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Heats,4
3,10.66,40.24,2,10.65,40.15,5,10.40,40.33,4,10.54,40.32,1,10.55,40.08,6,10.51,40.39,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Heats,4
1,10.44,50.68,3,10.75,50.90,5,10.89,51.22,4,10.70,51.02,2,10.66,50.74,6,10.95,51.34,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Heats,4
2,10.23,1:00.91,1,9.93,1:00.83,6,10.12,1:01.34,4,10.13,1:01.15,3,10.29,1:01.03,5,9.90,1:01.24,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Heats,4
1,9.84,1:10.75,2,9.95,1:10.78,6,9.90,1:11.24,4,9.89,1:11.04,3,9.88,1:10.91,5,9.91,1:11.15,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Heats,4
1,9.39,1:20.14,4,9.70,1:20.48,6,9.54,1:20.78,3,9.35,1:20.39,2,9.40,1:20.31,5,9.48,1:20.63,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Heats,4
1,9.44,1:29.58,4,9.45,1:29.93,6,9.39,1:30.17,3,9.40,1:29.79,2,9.37,1:29.68,5,9.43,1:30.06,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Heats,4
1,9.40,1:38.98,4,9.34,1:39.27,6,9.43,1:39.60,3,9.39,1:39.18,2,9.40,1:39.08,5,9.34,1:39.40,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Heats,4
1,9.31,1:48.29,4,9.36,1:48.63,6,9.61,1:49.21,3,9.35,1:48.53,2,9.33,1:48.41,5,9.37,1:48.77,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Heats,4
1,9.37,1:57.66,4,9.37,1:58.00,6,9.97,1:59.18,3,9.38,1:57.91,2,9.37,1:57.78,5,9.38,1:58.15,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Heats,4
1,9.52,2:07.18,4,9.41,2:07.41,6,10.31,2:09.49,3,9.48,2:07.39,2,9.51,2:07.29,5,9.63,2:07.78,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Heats,4
1,9.76,2:16.94,3,10.11,2:17.52,6,10.83,2:20.32,4,10.31,2:17.70,2,9.80,2:17.09,5,10.15,2:17.93,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,m,Heats,4
