Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,MA Qiang POSITION,MA Qiang LAP TIME,MA Qiang ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME
1,8.88,8.88,2,9.06,9.06,3,9.25,9.25,5,9.45,9.45,6,9.63,9.63,4,9.37,9.37
1,13.88,22.76,2,13.91,22.97,3,13.91,23.16,5,13.96,23.41,6,13.91,23.54,4,13.91,23.28
1,13.69,36.45,3,13.64,36.61,4,13.67,36.83,5,13.59,37.00,6,13.67,37.21,2,13.32,36.60
1,11.26,47.71,3,11.22,47.83,4,11.15,47.98,5,11.14,48.14,6,11.11,48.32,2,11.21,47.81
2,11.35,59.06,4,11.45,59.28,1,10.99,58.97,5,11.27,59.41,6,11.26,59.58,3,11.35,59.16
1,11.29,1:10.35,4,11.27,1:10.55,2,11.40,1:10.37,5,11.33,1:10.74,6,11.18,1:10.76,3,11.35,1:10.51
2,10.02,1:20.37,1,9.75,1:20.30,3,10.13,1:20.50,5,9.98,1:20.72,6,10.17,1:20.93,4,10.10,1:20.61
1,9.99,1:30.36,2,10.14,1:30.44,3,10.06,1:30.56,5,10.02,1:30.74,6,9.94,1:30.87,4,10.02,1:30.63
2,10.15,1:40.51,3,10.15,1:40.59,1,9.85,1:40.41,5,10.11,1:40.85,6,10.08,1:40.95,4,10.06,1:40.69
1,9.56,1:50.07,2,9.54,1:50.13,3,9.76,1:50.17,5,9.63,1:50.48,6,9.69,1:50.64,4,9.70,1:50.39
1,9.25,1:59.32,2,9.27,1:59.40,3,9.33,1:59.50,6,9.33,1:59.81,5,9.15,1:59.79,4,9.21,1:59.60
1,9.36,2:08.68,3,9.41,2:08.81,2,9.30,2:08.80,6,9.65,2:09.46,5,9.22,2:09.01,4,9.37,2:08.97
1,9.17,2:17.85,3,9.30,2:18.11,2,9.06,2:17.86,5,9.99,2:19.45,6,26.29,2:35.30,4,9.26,2:18.23
2,9.39,2:27.239,3,9.37,2:27.477,1,9.23,2:27.091,5,10.72,2:30.169,6,27.55,3:02.841,4,9.38,2:27.605
