START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,9.68,9.68,4,9.83,9.83,5,10.00,10.00,1,9.52,9.52,2,9.62,9.62,6,10.21,10.21,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Semifinals,1
2,13.39,23.07,4,13.45,23.28,5,13.37,23.37,3,13.59,23.11,1,13.35,22.97,6,13.29,23.50,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Semifinals,1
3,13.57,36.64,4,13.48,36.76,5,13.56,36.93,2,13.44,36.55,1,13.44,36.41,6,13.53,37.03,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Semifinals,1
3,13.69,50.33,4,13.74,50.50,5,13.63,50.56,2,13.77,50.32,1,13.65,50.06,6,13.64,50.67,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Semifinals,1
3,12.69,1:03.02,4,12.67,1:03.17,5,12.77,1:03.33,1,12.49,1:02.81,2,12.94,1:03.00,6,12.91,1:03.58,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Semifinals,1
2,10.93,1:13.95,4,11.01,1:14.18,5,11.10,1:14.43,1,11.12,1:13.93,3,11.12,1:14.12,6,10.88,1:14.46,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Semifinals,1
1,10.96,1:24.91,3,10.95,1:25.13,5,10.92,1:25.35,2,11.11,1:25.04,4,11.09,1:25.21,6,11.00,1:25.46,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Semifinals,1
1,11.57,1:36.48,4,11.68,1:36.81,5,11.57,1:36.92,2,11.59,1:36.63,3,11.52,1:36.73,6,11.53,1:36.99,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Semifinals,1
2,11.45,1:47.93,4,11.45,1:48.26,5,11.39,1:48.31,1,11.25,1:47.88,3,11.40,1:48.13,6,11.39,1:48.38,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Semifinals,1
2,10.67,1:58.60,4,10.53,1:58.79,6,10.55,1:58.86,1,10.55,1:58.43,5,10.67,1:58.80,3,10.25,1:58.63,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Semifinals,1
4,10.40,2:09.00,6,10.58,2:09.37,2,9.56,2:08.42,3,10.36,2:08.79,5,10.38,2:09.18,1,9.37,2:08.00,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Semifinals,1
4,10.18,2:19.18,6,10.17,2:19.54,2,9.58,2:18.00,3,10.15,2:18.94,5,10.36,2:19.54,1,9.84,2:17.84,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Semifinals,1
4,10.83,2:30.01,6,10.73,2:30.27,2,9.88,2:27.88,3,10.50,2:29.44,5,10.61,2:30.15,1,9.90,2:27.74,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Semifinals,1
4,10.88,2:40.886,6,10.74,2:41.010,2,10.47,2:38.349,3,10.81,2:40.247,5,10.85,2:40.998,1,10.52,2:38.257,2009-2010,"2010 ISU World Junior Championships, TPE, Taipei",1500m,w,Semifinals,1
