START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,10.45,10.45,2,10.44,10.44,5,10.57,10.57,6,10.76,10.76,4,10.56,10.56,1,10.42,10.42,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,5
2,14.32,24.77,3,14.37,24.81,4,14.36,24.93,6,14.49,25.25,5,14.50,25.06,1,14.29,24.71,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,5
6,14.03,38.80,2,13.51,38.32,3,13.56,38.49,5,13.41,38.66,4,13.52,38.58,1,13.48,38.19,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,5
6,13.42,52.22,3,13.46,51.78,4,13.41,51.90,5,13.39,52.05,2,13.10,51.68,1,13.44,51.63,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,5
6,12.47,1:04.69,3,12.55,1:04.33,4,12.56,1:04.46,5,12.50,1:04.55,1,12.41,1:04.09,2,12.56,1:04.19,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,5
6,12.83,1:17.52,3,12.78,1:17.11,4,12.73,1:17.19,5,12.85,1:17.40,1,12.92,1:17.01,2,12.91,1:17.10,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,5
6,11.94,1:29.46,1,11.44,1:28.55,4,11.69,1:28.88,5,11.92,1:29.32,2,11.63,1:28.64,3,11.65,1:28.75,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,5
6,11.73,1:41.19,1,11.44,1:39.99,4,11.41,1:40.29,5,11.68,1:41.00,2,11.44,1:40.08,3,11.43,1:40.18,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,5
6,12.16,1:53.35,1,11.22,1:51.21,4,11.26,1:51.55,5,12.07,1:53.07,2,11.25,1:51.33,3,11.19,1:51.37,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,5
6,12.32,2:05.67,1,9.99,2:01.20,3,9.95,2:01.50,5,12.38,2:05.45,4,10.19,2:01.52,2,9.94,2:01.31,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,5
5,12.60,2:18.27,1,9.83,2:11.03,3,9.74,2:11.24,6,12.90,2:18.35,4,10.13,2:11.65,2,9.85,2:11.16,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,5
5,12.70,2:30.97,1,9.99,2:21.02,3,10.04,2:21.28,6,12.94,2:31.29,4,10.34,2:21.99,2,9.98,2:21.14,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,5
6,12.99,2:43.96,1,10.14,2:31.16,3,10.14,2:31.42,5,12.64,2:43.93,4,10.86,2:32.85,2,10.22,2:31.36,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,5
5,13.49,2:57.446,1,10.34,2:41.496,2,10.12,2:41.537,0,,PEN,4,11.50,2:44.344,3,10.45,2:41.805,2011-2012,"2012 ISU World Junior Championships, AUS, Melbourne",1500M,w,Heats,5
