START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,9.88,9.88,1,9.52,9.52,2,9.68,9.68,5,10.02,10.02,6,10.13,10.13,3,9.79,9.79,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,5
4,12.83,22.71,3,12.92,22.44,2,12.74,22.42,5,12.83,22.85,6,12.85,22.98,1,12.55,22.34,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,5
4,11.96,34.67,3,12.11,34.55,2,11.96,34.38,5,11.93,34.78,6,11.87,34.85,1,11.94,34.28,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,5
4,12.12,46.79,3,12.14,46.69,2,12.13,46.51,5,12.12,46.90,6,12.15,47.00,1,12.14,46.42,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,5
6,11.79,58.58,5,11.85,58.54,2,11.72,58.23,4,11.50,58.40,3,11.28,58.28,1,11.78,58.20,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,5
5,10.12,1:08.70,1,9.78,1:08.32,2,10.14,1:08.37,4,10.18,1:08.58,3,10.18,1:08.46,6,10.53,1:08.73,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,5
5,9.90,1:18.60,2,9.95,1:18.27,3,10.00,1:18.37,4,9.91,1:18.49,1,9.71,1:18.17,6,9.99,1:18.72,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,5
4,9.60,1:28.20,2,9.82,1:28.09,5,9.89,1:28.26,3,9.69,1:28.18,1,9.81,1:27.98,6,9.68,1:28.40,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,5
3,9.82,1:38.02,2,9.76,1:37.85,4,9.88,1:38.14,5,10.01,1:38.19,1,9.86,1:37.84,6,9.87,1:38.27,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,5
1,9.21,1:47.23,2,9.47,1:47.32,5,9.62,1:47.76,3,9.17,1:47.36,4,9.59,1:47.43,6,9.71,1:47.98,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,5
1,9.11,1:56.34,2,9.11,1:56.43,5,9.30,1:57.06,3,9.21,1:56.57,4,9.24,1:56.67,6,9.87,1:57.85,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,5
2,9.03,2:05.37,1,8.93,2:05.36,5,9.26,2:06.32,3,8.99,2:05.56,4,9.00,2:05.67,6,10.34,2:08.19,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,5
2,9.17,2:14.54,1,8.99,2:14.35,5,9.78,2:16.10,3,9.09,2:14.65,4,9.01,2:14.68,6,10.87,2:19.06,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,5
2,9.26,2:23.80,1,9.28,2:23.63,5,10.62,2:26.72,0,9.31,2:23.96,0,9.28,2:23.96,6,11.18,2:30.24,2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Quarterfinals,5
