race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,3,,308,KOREA,7314,KOR,4:10.267,Q
0,2,4,,302,CANADA,7312,CAN,4:11.366,Q
0,3,2,,304,GERMANY,7313,GER,4:16.879,q
0,4,1,,305,HUNGARY,7323,HUN,4:16.998,
1,2,1,,311,RUSSIA,7315,RUS,4:14.776,Q
1,3,3,,306,ITALY,7317,ITA,4:14.815,q
1,4,4,,301,BULGARIA,7335,BUL,4:28.651,
2,1,1,,312,UNITEDSTATES,7316,USA,4:18.505,Q
2,2,2,,310,POLAND,7332,POL,4:23.824,Q
2,3,4,,307,JAPAN,7304,JPN,4:25.888,ADV
2,4,3,,309,NETHERLANDS,7322,NED,4:26.169,
