race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,171,AnthonyLOBELLO,6958,USA,1:28.526,Q
0,2,4,,130,RichardSHOEBRIDGE,7825,GBR,1:28.881,Q
0,3,1,,155,BREEUWSMADaan,7218,NED,1:56.196,
0,PEN,3,,118,MaximeCHATAIGNIER,6106,FRA,PEN,
1,2,2,,111,LIUXianwei,6307,CHN,1:26.739,Q
1,3,3,,150,HaraldsSILOVS,6458,LAT,1:27.031,
1,4,1,,138,YuzoTAKAMIDO,7158,JPN,1:28.503,
2,1,3,,109,LIANGWenhao,7594,CHN,1:29.177,Q
2,2,4,,104,MichaelGILDAY,6195,CAN,1:29.256,Q
2,3,2,,161,AlexanderGERTSIKOV,6570,RUS,1:29.987,
2,4,1,,141,YuMIURA,6181,JPN,1:29.996,
3,1,4,,170,TravisJAYNER,6300,USA,1:29.107,Q
3,2,1,,139,YumaSAKURAI,6182,JPN,1:29.490,Q
3,3,2,,110,SONGWeilong,7156,CHN,1:29.613,
3,4,3,,165,VladimirGRIGOREV,7826,RUS,1:29.727,
