race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,3,,244,CHINA,7303,CHN,6:52.457,Q
0,2,2,,247,GREATBRITAIN,7320,GBR,6:54.352,Q
0,3,4,,252,NETHERLANDS,7321,NED,6:55.627,
0,4,1,,242,BULGARIA,7392,BUL,7:18.244,
1,1,4,,256,UNITEDSTATES,7306,USA,6:57.354,Q
1,2,3,,249,ITALY,7301,ITA,6:59.727,Q
1,3,1,,253,POLAND,7326,POL,7:07.299,
1,4,2,,255,UKRAINE,7308,UKR,7:11.189,
2,2,1,,246,GERMANY,7302,GER,6:50.804,Q
2,3,2,,250,JAPAN,7310,JPN,6:50.967,
3,1,2,,254,RUSSIA,7307,RUS,6:50.891,Q
3,2,4,,243,CANADA,7309,CAN,6:58.880,Q
3,DQ,1,,245,FRANCE,7319,FRA,DQ,
3,DQ,3,,248,HUNGARY,7324,HUN,DQ,
