season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Rep.Semifinals,1,1,1,,43,DOTTITommaso,7604,ITA,2:11.602,Q
2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Rep.Semifinals,1,2,2,,90,WATANABEKeita,7605,JPN,2:11.761,
2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Rep.Semifinals,1,3,5,,94,NicolaRODIGARI,6332,ITA,2:12.003,
2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Rep.Semifinals,1,4,3,,174,AdamCALLISTER,7954,USA,2:12.317,
2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Rep.Semifinals,1,5,4,,149,ThibaultCROLET,7920,FRA,2:12.602,
2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Rep.Semifinals,1,6,6,,112,PETREWard,8708,BEL,2:20.043,
2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Rep.Semifinals,1,7,7,,16,DavideVISCARDI,7440,ITA,2:20.979,
2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Rep.Semifinals,2,1,2,,154,SHAMUKHANOVYerkebulan,8672,KAZ,2:25.412,Q
2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Rep.Semifinals,2,2,4,,80,JoshuaCHEETHAM,7925,GBR,2:25.683,
2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Rep.Semifinals,2,3,1,,24,SCHUBERTChristoph,7734,GER,2:25.721,
2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Rep.Semifinals,2,4,6,,110,AlexVARNYU,8337,HUN,2:25.808,
2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Rep.Semifinals,2,5,3,,35,PierreBODA,7588,AUS,2:25.932,
2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Rep.Semifinals,2,PEN,5,,123,KoenSLOOTWEG,8660,NED,PEN,
