race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,1,,451,CANADA,7309,CAN,2:47.471,Q,
0,2,2,,463,KOREA,7300,KOR,2:47.510,Q,
0,3,3,,456,GERMANY,7302,GER,2:52.941,q,
0,4,4,,457,GREATBRITAIN,7320,GBR,2:54.942,,
1,1,1,,465,RUSSIA,7307,RUS,2:48.342,Q,
1,2,2,,458,HUNGARY,7324,HUN,2:48.481,Q,
1,3,3,,452,CHINA,7303,CHN,2:57.429,,
1,4,4,,460,JAPAN,7310,JPN,2:57.944,,
2,1,1,,455,FRANCE,7319,FRA,2:49.384,Q,
2,2,4,,468,UNITEDSTATES,7306,USA,2:50.148,Q,
2,3,2,,459,ITALY,7301,ITA,2:50.296,q,
2,4,3,,461,NETHERLANDS,7321,NED,2:51.232,,
