race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,2,,29,JUNGHyunWoo(Andy),8575,AUS,42.662,,
0,2,4,,110,AugustinGERE,9270,LUX,42.794,,
0,3,1,,50,HazimSHAHRUM,9272,MAS,45.734,,
0,4,3,,36,NicolasLABORDE,9096,COL,notime,,
1,1,1,,38,GEORGIEVDimitar,8541,BUL,43.756,,
1,2,2,,212,LINChun-Chieh,8756,TPE,43.955,,
1,3,3,,51,TarikOMERAGIC,8533,BIH,44.054,,
1,4,4,,46,ARADHYAAkash,7739,IND,44.180,,
2,1,1,,193,FAJKUSRadek,9335,CZE,43.722,,
2,2,3,,148,ReinisBERZINS,9267,LAT,44.674,,
2,3,2,,43,DJORDJEVICJovan,9295,SRB,44.975,,
2,4,4,,218,KaloyanANGELOV,9221,BUL,46.301,,
3,1,4,,24,PETREWard,8708,BEL,42.887,,
3,2,2,,26,HANDEIOleh,9073,UKR,43.269,,
3,3,3,,209,deROSEEthan,9281,NZL,43.938,,
3,4,1,,82,FiratYARDIMCI,8520,TUR,58.210,,
4,1,1,,23,DOTTITommaso,7604,ITA,42.850,,
4,2,4,,136,AlexVARNYU,8337,HUN,42.949,,
4,3,2,,28,YauheniRYZHOU,7772,BLR,43.019,,
4,4,3,,182,KRUZBERGSRoberts,9117,LAT,43.071,,
5,1,1,,135,LUEDTKEAdrian,9104,GER,43.346,,
5,2,2,,100,SeanMcANUFF,9198,IRL,43.440,,
5,3,4,,183,TrevorXuXuanTAN,9420,SGP,43.862,,
5,4,3,,33,ANDERMANNDominic,8078,AUT,48.145,,
6,1,1,,189,BLUNDENKeanu,8593,AUS,42.366,,
6,2,4,,185,HANDEIVolodymyr,8525,UKR,43.035,,
6,3,3,,52,KOLENCMartin,8604,CRO,43.063,,
6,4,2,,19,CONFORTOLAYuri,6561,ITA,59.954,,
7,1,3,,70,TRANAaron,8528,USA,42.469,,
7,2,4,,18,ThibautFAUCONNET,6785,FRA,42.545,,
7,3,5,,150,GALIAKHMETOVAdil,9260,KAZ,42.761,,
7,4,2,,11,YOSHINAGAKazuki,8745,JPN,42.825,,
7,5,1,,162,MateuszKRZEMINSKI,9412,POL,43.135,,
