race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,1018,CANADA,7309,CAN,3:00.411,Q
0,2,2,,1028,NETHERLANDS,7321,NED,3:17.089,Q
0,DQ,3,,1029,NEWZEALAND,8171,NZL,DQ,
1,1,2,,1027,KOREA,7300,KOR,2:57.449,Q
1,2,1,,1014,AUSTRALIA,7305,AUS,2:59.263,Q
1,DQ,3,,1017,BULGARIA,7392,BUL,DQ,
2,1,4,,1020,GREATBRITAIN,7320,GBR,2:54.023,Q
2,2,1,,1030,POLAND,7326,POL,2:55.426,Q
2,3,2,,1021,GERMANY,7302,GER,3:02.509,q
2,4,3,,1015,AUSTRIA,8122,AUT,3:16.060,
3,1,1,,1025,JAPAN,7304,JPN,2:57.545,Q
3,2,3,,1019,FRANCE,7319,FRA,3:02.739,Q
3,3,2,,1016,BELARUS,7399,BLR,3:04.351,q
4,1,1,,1033,UNITEDSTATES,7306,USA,2:59.384,Q
4,2,2,,1022,HUNGARY,7324,HUN,3:00.963,Q
4,3,3,,1023,ISRAEL,7393,ISR,3:17.853,q
5,1,1,,1024,ITALY,7301,ITA,2:55.330,Q
5,2,3,,1032,RUSSIA,7307,RUS,2:55.341,Q
5,3,4,,1031,ROMANIA,7327,ROU,3:07.504,q
5,4,2,,1026,KAZAKHSTAN,7356,KAZ,3:12.723,
