race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,3,,703,CANADA,7309,CAN,4:15.428,Q,
0,2,2,,716,RUSSIA,7307,RUS,4:17.408,Q,
0,3,1,,710,JAPAN,7310,JPN,4:18.431,q,
0,4,4,,711,KAZAKHSTAN,7356,KAZ,notime,,
1,1,2,,709,ITALY,7301,ITA,4:15.162,Q,
1,2,3,,719,UNITEDSTATES,7306,USA,4:18.761,Q,
1,3,1,,707,GERMANY,7302,GER,4:21.924,q,
1,4,4,,715,ROMANIA,7327,ROU,4:24.489,,
2,1,1,,712,KOREA,7300,KOR,4:12.496,Q,
2,2,3,,713,NETHERLANDS,7321,NED,4:14.899,Q,
2,3,2,,714,POLAND,7326,POL,4:24.153,,
2,4,4,,706,GREATBRITAIN,7320,GBR,4:35.987,,
