race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,15,BYKANOVVladislav,6178,ISR,2:10.963,QA
0,2,1,,62,KNEGTSjinkie,7352,NED,2:11.090,QA
0,3,3,,60,LEEJungSu,7266,KOR,2:11.188,QB
0,4,4,,13,John-HenryKRUEGER,7763,USA,2:11.501,QB
0,5,7,,53,CharleCOURNOYER,8063,CAN,2:11.693,
0,6,6,,14,LEPAPESebastien,7554,FRA,2:12.494,
0,7,8,,154,SHAMUKHANOVYerkebulan,8672,KAZ,2:16.845,
0,PEN,5,,155,HANSeungSoo,8673,KOR,PEN,
1,1,1,,3,ShaolinSandorLIU,7928,HUN,2:18.316,QA
1,2,4,,180,ANKai,9168,CHN,2:18.580,QA
1,3,2,,43,DOTTITommaso,7604,ITA,2:18.865,QB
1,4,6,,61,FrancoisHAMELIN,6167,CAN,2:18.973,QB
1,5,5,,176,DIONPascal,8999,CAN,notime,ADA
1,PEN,7,,75,RuslanZAKHAROV,6935,RUS,PEN,
1,PEN,3,,86,BREEUWSMADaan,7218,NED,PEN,
2,1,1,,159,SINdaWoon,8035,KOR,2:14.615,QA
2,2,4,,52,SemenELISTRATOV,7293,RUS,2:14.632,QA
2,3,8,,1,HANTianyu,8388,CHN,2:14.750,QB
2,4,6,,93,CsabaBURJAN,7738,HUN,2:14.975,QB
2,5,2,,90,WATANABEKeita,7605,JPN,2:16.263,
2,6,5,,21,NurbergenZHUMAGAZIYEV,7349,KAZ,2:17.754,
2,7,7,,39,EdinBRANKOVIC,7256,BIH,2:19.757,
2,PEN,3,,97,RENZiwei,8601,CHN,PEN,
