race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,4,,607,ITALY,7317,ITA,4:35.944,Q,
0,2,1,,606,FRANCE,7354,FRA,4:38.486,Q,
0,3,3,,608,JAPAN,7304,JPN,4:41.634,,
0,4,2,,601,BELARUS,7479,BLR,4:57.559,,
1,1,1,,604,CHINA,7311,CHN,4:25.982,Q,
1,2,3,,612,POLAND,7332,POL,4:34.898,Q,
1,3,2,,615,UNITEDSTATES,7316,USA,4:54.973,,
2,1,2,,613,RUSSIA,7315,RUS,4:33.370,Q,
2,2,1,,603,CANADA,7312,CAN,4:35.832,Q,
2,3,3,,605,CZECHREPUBLIC,8124,CZE,4:44.996,,
2,4,4,,602,BULGARIA,7335,BUL,5:10.837,,
3,1,1,,610,KOREA,7314,KOR,4:32.010,Q,
3,2,2,,611,NETHERLANDS,7322,NED,4:39.733,Q,
3,3,3,,609,KAZAKHSTAN,7355,KAZ,4:44.836,,
3,4,4,,614,UKRAINE,7334,UKR,5:07.979,,
