race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,912,CHINA,7303,CHN,6:54.870,Q
0,2,2,,918,JAPAN,7310,JPN,6:56.553,Q
0,3,4,,922,RUSSIA,7307,RUS,6:56.995,
0,4,3,,919,KAZAKHSTAN,7356,KAZ,7:11.732,
1,1,3,,911,CANADA,7309,CAN,6:52.541,Q
1,2,2,,924,UNITEDSTATES,7306,USA,6:53.272,Q
1,3,1,,914,GERMANY,7302,GER,6:54.863,q
1,4,4,,926,BULGARIA,7392,BUL,7:19.498,
2,1,2,,920,NETHERLANDS,7321,NED,6:55.229,Q
2,2,3,,917,ITALY,7301,ITA,6:55.288,Q
2,4,4,,925,AUSTRALIA,7305,AUS,7:13.395,
