race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,1,,40,JorienterMORS,6146,NED,44.865,Q,
0,2,2,,19,CharlotteGILMARTIN,7136,GBR,45.899,Q,
0,3,4,,56,MariaORLOVA,7195,RUS,46.359,q,
0,4,3,,3,VeraANTANENKA,7099,BLR,46.446,,
1,1,1,,43,vanKERKHOFYara,7422,NED,45.146,Q,
1,2,2,,28,AndreaKESZLER,7147,HUN,45.343,Q,
1,3,4,,22,ChristinPRIEBST,6078,GER,46.920,,
1,PEN,3,,1,VeronikaWINDISCH,6427,AUT,PEN,,
2,2,2,,27,BernadettHEIDUM,6798,HUN,44.315,Q,
2,3,3,,8,MarinaGEORGIEVA-NIKOLOVA,7097,BUL,44.542,q,
2,4,4,,37,EvitaKRIEVANE,6833,LAT,47.185,,
3,1,2,,53,OlgaBELYAKOVA,7112,RUS,45.855,Q,
3,2,3,,24,WALTERBianca,7232,GER,58.066,Q,
3,3,4,,33,CeciliaMAFFEI,6559,ITA,1:02.592,,
3,PEN,1,,60,OlenaKORINCHUK,7252,UKR,PEN,,
4,1,1,,14,KaterinaNOVOTNA,6647,CZE,44.521,Q,
4,2,2,,17,PIERRONVeronique,6196,FRA,44.594,Q,
4,3,3,,30,SzandraLAJTOS,6339,HUN,45.410,q,
4,4,4,,62,SafiyaVLASOVA,7175,UKR,45.552,,
5,1,1,,35,VALCEPINAMartina,7159,ITA,44.792,Q,
5,2,2,,39,AgneSEREIKAITE,7708,LTU,45.421,Q,
5,3,4,,45,AidaBELLA,7538,POL,45.625,q,
5,4,3,,58,TatianaBODOVA,7250,SVK,45.666,,
