race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,3,,321,HUNGARY,9021,HUN,6:55.873,Q,
0,2,4,,318,GREATBRITAIN,9019,GBR,6:56.559,Q,
0,3,2,,320,POLAND,9028,POL,7:02.558,q,
0,4,1,,312,TURKEY,9030,TUR,7:12.697,,
1,1,4,,317,RUSSIA,9029,RUS,7:02.828,Q,
1,2,2,,316,ITALY,9023,ITA,7:03.215,Q,
1,3,1,,315,BELARUS,9014,BLR,7:17.085,,
1,PEN,3,,319,UKRAINE,9031,UKR,PEN,,
2,1,1,,322,NETHERLANDS,9027,NED,6:48.322,Q,
2,2,3,,313,FRANCE,9018,FRA,6:49.720,Q,
2,3,2,,314,BELGIUM,9013,BEL,7:03.388,q,
