race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,4,,212,CHINA,7303,CHN,6:54.759,Q
0,2,1,,220,NETHERLANDS,7321,NED,6:54.826,Q
0,3,2,,217,JAPAN,7310,JPN,6:55.184,q
0,4,3,,216,ITALY,7301,ITA,6:57.493,
1,2,3,,221,RUSSIA,7307,RUS,6:53.541,Q
1,3,2,,214,GREATBRITAIN,7320,GBR,6:53.879,q
1,4,1,,218,KAZAKHSTAN,7356,KAZ,7:21.213,
2,1,3,,222,UNITEDSTATES,7306,USA,6:55.650,Q
2,2,2,,211,CANADA,7309,CAN,6:55.709,Q
2,3,1,,215,GERMANY,7302,GER,6:58.059,
2,4,4,,210,AUSTRALIA,7305,AUS,7:09.853,
