race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,4,,924,UNITEDSTATES,7306,USA,6:49.724,Q
0,2,1,,911,CANADA,7309,CAN,6:49.900,Q
0,3,3,,912,CHINA,7303,CHN,6:50.423,q
0,4,2,,913,FRANCE,7319,FRA,6:53.182,
1,2,2,,917,ITALY,7301,ITA,6:55.918,Q
1,3,3,,920,NETHERLANDS,7321,NED,7:03.942,q
1,4,4,,925,AUSTRALIA,7305,AUS,7:11.462,
1,DNF,5,,926,BULGARIA,7392,BUL,DNF,
2,1,3,,914,GERMANY,7302,GER,7:02.448,Q
2,2,4,,916,HUNGARY,7324,HUN,7:03.642,Q
2,3,2,,915,GREATBRITAIN,7320,GBR,7:07.182,
2,4,1,,918,JAPAN,7310,JPN,7:11.074,
