race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,1,,201,ITALY,7301,ITA,4:13.436,Q,
0,2,3,,208,UNITEDSTATES,7306,USA,4:18.114,Q,
0,3,2,,206,POLAND,7326,POL,4:28.575,,
1,1,3,,204,KOREA,7300,KOR,4:09.204,Q,
1,2,2,,202,JAPAN,7310,JPN,4:09.589,Q,
1,3,1,,198,FRANCE,7319,FRA,4:10.083,,
2,1,4,,200,HUNGARY,7324,HUN,4:09.348,Q,
2,2,3,,197,CHINA,7303,CHN,4:09.857,Q,
2,3,2,,199,GERMANY,7302,GER,4:21.571,,
2,4,1,,203,KAZAKHSTAN,7356,KAZ,4:29.974,,
3,1,3,,196,CANADA,7309,CAN,4:10.455,Q,
3,2,2,,207,RUSSIA,7307,RUS,4:12.285,Q,
3,3,1,,205,NETHERLANDS,7321,NED,4:23.256,,
