race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,3,,316,JAPAN,9024,JPN,4:12.343,Q,
0,2,1,,301,AUSTRALIA,9012,AUS,4:19.005,Q,
0,3,4,,339,UKRAINE,9031,UKR,4:29.019,,
0,4,2,,337,MALAYSIA,9060,MAS,4:41.932,,
1,1,3,,321,KOREA,9026,KOR,4:08.451,Q,
1,2,2,,336,GERMANY,9020,GER,4:19.902,Q,
1,3,1,,335,CHINESETAIPEI,9150,TPE,4:38.931,,
2,1,2,,323,NETHERLANDS,9027,NED,4:06.269,Q,
2,2,3,,307,FRANCE,9018,FRA,4:07.155,Q,
2,3,1,,338,POLAND,9028,POL,4:07.522,q,
2,4,4,,334,BELARUS,9014,BLR,4:22.658,,
3,1,3,,329,UNITEDSTATES,9032,USA,4:13.109,Q,
3,2,2,,313,HUNGARY,9021,HUN,4:13.315,Q,
3,3,1,,303,CANADA,9016,CAN,4:13.657,q,
4,1,3,,325,RUSSIA,9029,RUS,4:09.431,Q,
4,2,2,,318,KAZAKHSTAN,9025,KAZ,4:17.127,Q,
4,3,1,,327,TURKEY,9030,TUR,4:19.166,,
4,4,4,,314,ITALY,9023,ITA,4:30.685,,
