race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,1,,407,HUNGARY,7324,HUN,4:04.827,Q,
0,2,3,,411,NETHERLANDS,7321,NED,4:07.900,Q,
0,3,2,,402,BELGIUM,7897,BEL,4:09.198,,
0,4,4,,408,ITALY,7301,ITA,4:36.514,,
1,1,1,,415,KOREA,7300,KOR,4:01.147,Q,
1,2,3,,403,CANADA,7309,CAN,4:07.626,Q,
1,3,2,,414,UNITEDSTATES,7306,USA,4:12.520,,
1,4,4,,410,KAZAKHSTAN,7356,KAZ,4:12.737,,
2,1,2,,404,CHINA,7303,CHN,4:08.141,Q,
2,2,4,,405,FRANCE,7319,FRA,4:11.087,Q,
2,3,3,,406,GERMANY,7302,GER,4:18.400,ADV,
2,PEN,1,,401,AUSTRALIA,7305,AUS,PEN,,
3,1,2,,412,RUSSIA,7307,RUS,4:12.569,Q,
3,2,1,,409,JAPAN,7310,JPN,4:15.241,Q,
3,3,3,,413,TURKEY,7789,TUR,4:41.323,,
