race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,2,,309,KOREA,9044,KOR,4:17.912,Q,
0,2,3,,302,CANADA,9049,CAN,4:23.445,Q,
0,PEN,1,,305,HUNGARY,9043,HUN,PEN,,
1,1,2,,311,POLAND,9041,POL,4:23.079,Q,
1,2,3,,308,KAZAKHSTAN,9149,KAZ,4:23.996,Q,
1,3,1,,307,JAPAN,9047,JPN,4:27.710,,
2,1,4,,303,CHINA,9048,CHN,4:16.043JWR,Q,
2,2,1,,312,RUSSIA,9046,RUS,4:16.755,Q,
2,3,3,,310,NETHERLANDS,9040,NED,4:17.544,,
2,YC,2,,304,GREATBRITAIN,9171,GBR,YC,,
3,1,2,,314,UNITEDSTATES,9045,USA,4:22.129,Q,
3,2,3,,306,ITALY,9039,ITA,4:22.203,Q,
3,3,4,,313,UKRAINE,9050,UKR,4:39.720,,
3,4,1,,301,AUSTRALIA,9579,AUS,4:48.781,,
