race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,3,,134,JonELEY,6592,GBR,43.251,Q
0,2,2,,200,EvgeniiKOZULIN,7272,RUS,43.324,Q
0,3,1,,150,GaborGALAMBOS,6010,HUN,43.403,q
0,4,4,,103,ElliottSHRIANE,6846,AUS,43.578,
1,1,1,,124,LIANGWenhao,7594,CHN,42.695,Q
1,2,2,,144,TysonHEUNG,6240,GER,42.704,Q
1,3,3,,159,NicolaRODIGARI,6332,ITA,42.775,q
1,4,4,,133,BenjaminMACE,7357,FRA,42.974,
2,1,1,,116,FrancoisHAMELIN,6167,CAN,41.962,Q
2,2,4,,215,SimonCHO,7188,USA,42.168,Q
2,3,3,,148,PeterDARAZS,6465,HUN,42.671,q
2,4,2,,190,BartoszKONOPKO,7169,POL,43.538,
3,1,1,,166,TakahiroFUJIMOTO,6277,JPN,42.211,Q
3,2,2,,108,WimdeDEYNE,6699,BEL,42.357,Q
3,3,4,,106,AndrePULEC,6054,AUT,43.834,
3,4,3,,187,MarkJACKSON,6941,NZL,1:02.173,
4,1,1,,165,JunjiITO,6579,JPN,42.862,Q
4,2,4,,182,KNEGTSjinkie,7352,NED,42.973,Q
4,3,2,,160,RobertoSERRA,6463,ITA,43.131,q
4,4,3,,105,PierreBODA,7588,AUS,44.829,
5,1,1,,121,HANJialiang,6168,CHN,42.656,Q
5,2,3,,135,PaulSTANLEY,7054,GBR,43.031,Q
5,3,2,,111,AssenPANDOV,6778,BUL,43.319,q
5,4,4,,101,JeremyBECK,7283,AUS,44.562,
6,1,1,,118,Francois-LouisTREMBLAY,6704,CAN,42.359,Q
6,2,3,,199,ViacheslavKURGINIAN,6934,RUS,43.173,Q
6,3,2,,156,CONFORTOLAYuri,6561,ITA,43.236,q
6,4,4,,194,RafalPIORECKI,7170,POL,45.382,
7,1,1,,210,AnthonyLOBELLO,6958,USA,42.705,Q
7,2,2,,107,PieterGYSEL,6425,BEL,43.875,Q
7,3,4,,185,IngmarvanRIEL,6186,NED,45.209,
7,4,3,,201,SergeyPRANKEVICH,7048,RUS,1:03.724,
8,1,1,,211,JeffSIMON,7280,USA,42.866,Q
8,2,3,,137,PaulWORTH,6802,GBR,43.134,Q
8,3,2,,191,DariuszKULESZA,6817,POL,43.600,q
8,4,4,,189,MatthewFULLER,6448,NZL,45.256,
9,1,1,,179,HaraldsSILOVS,6458,LAT,43.273,Q
9,3,3,,181,NielsKERSTHOLT,7067,NED,43.753,
9,4,4,,205,OleksiyKOSHELENKO,7121,UKR,44.927,
10,1,1,,115,HAMELINCharles,6610,CAN,42.498,Q
10,2,3,,128,ThibautFAUCONNET,6785,FRA,42.656,Q
10,3,4,,170,AydarBEKZHANOV,7623,KAZ,43.560,q
10,4,2,,146,TorstenKROEGER,7141,GER,43.603,
11,1,1,,173,LEEHo-Suk,6856,KOR,43.711,Q
11,2,3,,151,ViktorKNOCH,6177,HUN,44.080,Q
11,3,2,,120,SUIBaoKu,6416,CHN,44.230,
11,4,4,,126,VojtechLOUDIN,7597,CZE,44.689,
