race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,26,LIYe,6655,CHN,42.359,Q
0,2,1,,87,AHNHyun-Soo,6618,KOR,42.539,Q
0,3,4,,101,PeterJELEN,7077,SVK,43.237,q
0,4,3,,52,ViktorKNOCH,6177,HUN,44.000,
1,1,2,,88,LEEHo-Suk,6856,KOR,43.522,Q
1,2,3,,77,MarkJACKSON,6941,NZL,43.608,Q
1,3,1,,92,ZsoltKALAMARKERTESZ,6125,,44.898,
1,4,4,,102,BenjaminSTUTHRIDGE,7102,RSA,46.367,
2,1,2,,20,MathieuTURCOTTE,6705,CAN,41.925,Q
2,2,3,,66,TakafumiNISHITANI,6323,JPN,42.184,Q
2,3,1,,51,GaborGALAMBOS,6010,HUN,42.447,q
2,4,4,,106,YevgenYAKOVLEV,6751,UKR,43.850,
3,1,4,,45,JonELEY,6592,GBR,42.903,Q
3,2,2,,76,ThomasMOGENDORFF,6814,NED,43.308,Q
3,3,1,,10,IvanBIALOU,6217,BLR,43.438,
3,4,3,,68,NikolayFEDORENKO,6312,KAZ,43.511,
4,1,4,,42,AndreHARTWIG,6635,GER,43.130,Q
4,2,1,,82,KarolBOBOWICZ,6070,POL,43.250,Q
4,3,3,,111,JPKEPKA,6501,USA,45.310,
4,4,2,,98,MiodragPOPOVIC,6244,SRB,1:00.596,
5,1,4,,100,TomasGRESCHNER,6633,SVK,43.914,Q
5,2,2,,36,ThibautFAUCONNET,6785,FRA,43.940,Q
5,3,1,,6,BenjaminKOCH,6847,AUT,44.989,
5,4,3,,55,SubodhBalavantPATIL,6241,IND,49.980,
6,1,1,,40,TysonHEUNG,6240,GER,42.783,Q
6,2,3,,94,AlexanderGERTSIKOV,6570,RUS,42.881,Q
6,3,4,,89,ZoltanKRISTO,6386,,44.593,
6,4,2,,69,ArturSULTANGALIYEV,6158,KAZ,45.340,
7,1,4,,25,LIJiajun,7095,CHN,43.199,Q
7,2,1,,107,VolodymyrCHERNEGA,6041,UKR,43.645,Q
7,3,3,,56,BYKANOVVladislav,6178,ISR,44.521,
7,4,2,,31,CHENGEricI,6937,TPE,45.255,
8,1,3,,27,LIHaonan,6658,CHN,44.377,Q
8,2,1,,5,LachlanHAY,6845,AUS,44.807,Q
8,3,2,,11,SiarheiYAKUSHKOU,6923,BLR,57.990,
9,1,2,,63,SatoruTERAO,6320,JPN,43.129,Q
9,2,1,,35,JeanCharlesMATTEI,6057,FRA,43.586,Q
9,3,3,,115,AndrePULEC,6054,AUT,43.701,
9,4,4,,80,KrystianZDROJKOWSKI,6515,POL,1:14.048,
10,2,3,,59,NicolaRODIGARI,6332,ITA,42.198,Q
10,3,2,,96,MikhailRAJINE,6569,RUS,42.288,q
10,4,4,,16,FelipedeSOUZA,6114,BRA,52.509,
11,1,1,,61,RobertoSERRA,6463,ITA,42.370,Q
11,2,4,,38,MatthieudeBOISSET,6467,FRA,42.661,Q
11,3,2,,47,PaulWORTH,6802,GBR,42.941,q
11,4,3,,79,BlakeSKJELLERUP,6549,NZL,45.247,
12,1,4,,18,AssenPANDOV,6778,BUL,45.446,Q
12,2,2,,32,JarmilHRUZA,6503,CZE,47.085,Q
12,3,1,,104,SaschaLAUBER,6634,SUI,1:06.402,ADV
12,DQ,3,,81,DariuszKULESZA,6817,POL,DQ,
13,1,2,,72,CeesJUFFERMANS,6072,NED,43.138,Q
13,2,1,,46,PaulSTANLEY,7054,GBR,43.289,Q
13,3,3,,103,DavidGROSSENBACHER,6962,SUI,43.367,
13,DNF,4,,33,PetrHARGAS,6171,CZE,DNF,
14,1,3,,22,EricBEDARD,6703,CAN,44.635,Q
14,2,4,,57,SergeiKASTOV,6591,ISR,45.213,Q
14,3,1,,91,LaszloVRENCEAN,6819,,46.688,ADV
14,DQ,2,,19,NikolaySTANCHEV,7045,BUL,DQ,
15,1,3,,85,SONGSuk-Woo,7086,KOR,42.807,Q
15,2,1,,12,PieterGYSEL,6425,BEL,43.265,Q
15,3,2,,2,MarkMcNEE,6432,AUS,43.825,
15,4,4,,34,LaugeHyeLANGKJER,6194,DEN,47.939,
16,1,4,,62,NicolaFRANCESCHINA,6331,ITA,42.307,Q
16,2,1,,13,WimdeDEYNE,6699,BEL,42.501,Q
16,3,2,,43,ArianNACHBAR,6637,GER,42.588,q
16,4,3,,9,AliaksandrANTANENKA,6850,BLR,43.753,
17,1,4,,50,PeterDARAZS,6465,HUN,44.223,Q
17,2,1,,3,AlexMcEWAN,6428,AUS,44.313,Q
17,3,3,,30,LOWei-Lin,6938,TPE,44.412,
17,4,2,,71,GanbatJARGALANCHULUUN,6543,MGL,48.338,
18,1,1,,64,TakahiroFUJIMOTO,6277,JPN,44.501,Q
18,2,4,,99,MatusUZAK,6510,SVK,44.665,Q
18,3,3,,15,DriesCELIS,6113,BEL,1:15.941,ADV
18,DQ,2,,17,KirilPANDOV,6779,BUL,DQ,
19,1,2,,112,RustySMITH,6496,USA,43.656,Q
19,2,4,,105,VolodymyrGRYGORIEV,6741,UKR,43.704,Q
19,3,3,,74,NielsKERSTHOLT,7067,NED,43.783,
19,4,1,,78,MatthewFULLER,6448,NZL,44.952,
20,1,3,,21,Francois-LouisTREMBLAY,6704,CAN,42.849,Q
20,2,1,,70,HaraldsSILOVS,6458,LAT,42.981,Q
20,3,4,,93,BulatVALIULLIN,6820,RUS,43.025,q
20,4,2,,7,MichaelKOCH,6680,AUT,44.546,
