race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,924,UNITEDSTATES,7306,USA,6:44.802,Q
0,2,1,,912,CHINA,7303,CHN,6:45.137,Q
0,3,4,,915,GREATBRITAIN,7320,GBR,6:46.314,q
0,4,3,,922,RUSSIA,7307,RUS,6:46.336,
1,1,1,,911,CANADA,7309,CAN,6:44.886,Q
1,3,3,,913,FRANCE,7319,FRA,6:48.101,q
1,4,2,,918,JAPAN,7310,JPN,6:58.292,
2,1,3,,920,NETHERLANDS,7321,NED,6:46.536,Q
2,2,2,,914,GERMANY,7302,GER,6:48.540,Q
2,3,1,,917,ITALY,7301,ITA,6:49.214,
2,4,4,,919,KAZAKHSTAN,7356,KAZ,7:08.164,
