race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,152,DaisukeUEMURA,6118,JPN,43.622,Q
0,2,3,,137,BenceBERES,7438,HUN,43.779,Q
0,3,2,,181,OleksiyKOSHELENKO,7121,UKR,43.857,
0,4,4,,147,DavideVISCARDI,7440,ITA,44.251,
1,1,1,,116,LIANGWenhao,7594,CHN,42.378,Q
1,2,2,,125,AlexisYANG,7921,FRA,42.697,Q
1,3,3,,128,HannesKROEGER,7142,GER,42.871,
1,4,4,,149,YoshiakiOGURO,7743,JPN,43.092,
2,1,1,,170,FreekvanderWART,7269,NED,43.410,Q
2,2,2,,177,EvgeniiKOZULIN,7272,RUS,46.442,Q
2,3,4,,171,AdamFILIPOWICZ,6156,POL,1:01.862,ADV
2,4,3,,139,ShaolinSandorLIU,7928,HUN,1:08.668,
3,1,1,,123,LEPAPESebastien,7554,FRA,42.485,Q
3,2,2,,179,PavelRYBAKOV,7114,RUS,42.587,Q
3,3,3,,142,BYKANOVVladislav,6178,ISR,42.727,
3,4,4,,155,NurbergenZHUMAGAZIYEV,7349,KAZ,1:12.373,
