race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,3,,101,AydarBEKZHANOV,7623,KAZ,2:21.590,Q
0,2,2,,74,HirokiYOKOYAMA,7932,JPN,2:21.695,Q
0,3,1,,173,HANDEIOleh,9073,UKR,2:21.758,q
0,4,4,,22,JensALMEY,8595,BEL,2:21.832,
0,5,5,,39,EdinBRANKOVIC,7256,BIH,2:22.154,
0,6,6,,131,NIESCIERKarol,9126,POL,2:28.555,
1,1,4,,89,MAXingguang,9169,CHN,2:23.842,Q
1,2,2,,33,ZacharyBIGGS,8635,NZL,2:24.098,Q
1,3,6,,92,ZHAXYBAYEVMersaid,8623,KAZ,2:24.166,q
1,4,1,,99,DESMETStijn,8706,BEL,2:24.242,
1,5,3,,46,KlaudioNASRI,8540,BUL,2:25.943,
1,6,5,,206,NEMIROVladyslav,8719,UKR,2:28.235,
2,1,2,,91,FERCOQQuentin,8605,FRA,2:28.847,Q
2,2,3,,80,JoshuaCHEETHAM,7925,GBR,2:29.211,Q
2,3,5,,147,ANDERMANNNico,8720,AUT,2:29.462,
2,4,4,,122,JasonCLAGUE,8636,NZL,2:30.326,
2,5,1,,141,ArtemKHMELIVSKYI,7950,UKR,2:31.578,
3,1,3,,154,SHAMUKHANOVYerkebulan,8672,KAZ,2:28.988,Q
3,2,1,,210,AydinDJEMAL,9306,GBR,2:29.129,Q
3,3,4,,130,AliaksandrARLOU,8459,BLR,2:29.391,
3,4,5,,233,MuhammetKARADENIZ,8662,TUR,2:30.618,
3,5,2,,120,VANHOORENRino,8721,BEL,2:31.910,
3,6,6,,148,WOLFGANGMatthias,8474,AUT,2:32.039,
4,1,1,,19,VladimirGRIGOREV,7826,RUS,2:24.598,Q
4,2,5,,197,MOODYJonathan,9102,GBR,2:24.752,Q
4,3,3,,128,AdamFILIPOWICZ,6156,POL,2:25.049,
4,4,2,,119,GEORGIEVDimitar,8541,BUL,2:32.189,ADV
4,PEN,4,,204,MukerremDENIZ,9211,TUR,PEN,
4,DNS,6,,169,ClementFLORAC,8732,FRA,DNS,
