race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,2,,322,KOREA,9026,KOR,6:43.565,Q
0,2,1,,301,CANADA,9016,CAN,6:44.634,Q
0,3,3,,337,UNITEDSTATES,9032,USA,6:58.360,ADV
0,PEN,4,,321,KAZAKHSTAN,9025,KAZ,PEN,
1,1,1,,326,NETHERLANDS,9027,NED,6:43.258,Q
1,2,2,,319,JAPAN,9024,JPN,6:44.131,Q
1,3,3,,315,ITALY,9023,ITA,6:53.892,
1,PEN,4,,309,FRANCE,9018,FRA,PEN,
2,1,2,,332,RUSSIA,9029,RUS,6:49.367,Q
2,2,1,,313,HUNGARY,9021,HUN,6:49.592,Q
2,3,3,,306,CHINA,9022,CHN,6:50.361,q
2,4,4,,334,TURKEY,9030,TUR,6:54.826,
